                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,0.296,0.102,0.398,0,0.398
                        CA_SFU,0.004,0.007,0.011,0,0.011
                   CA_Victoria,0.081,0.149,0.23,0,0.23
                          CERN,0.627,0.921,1.548,0,1.548
                 CH_UNIBE-LHEP,0.03,0.003,0.033,0,0.033
                        CZ_FZU,0.562,0.529,1.091,0,1.091
                     ES_CIEMAT,0,0.023,0.024,0,0.024
                        ES_PIC,0.218,0.257,0.475,0,0.475
                    FR_CCIN2P3,0.384,0.269,0.653,0,0.653
                       IN_TIFR,0.06,0.367,0.427,0,0.427
                       IT_CNAF,0,0.083,0.083,0,0.083
                     NL_NIKHEF,0.375,0.259,0.634,0,0.634
                   NL_SURFsara,0.84,0.715,1.555,0,1.555
                       RU_JINR,0.052,0.217,0.269,0,0.269
                    UK_Bristol,0.093,0.372,0.466,0,0.466
                     UK_Brunel,0.145,0.195,0.34,0,0.34
                  UK_Edinburgh,0.191,0.058,0.249,0,0.249
                   UK_Imperial,0.193,0.17,0.364,0,0.364
                  UK_Lancaster,0.207,0.11,0.317,0,0.317
                  UK_Liverpool,0.101,0.056,0.157,0,0.157
                 UK_Manchester,0.253,0.899,1.152,0,1.152
                     UK_Oxford,0.083,0.126,0.209,0,0.209
                       UK_QMUL,0.48,0.142,0.622,0,0.622
                    UK_RAL-PPD,0.585,1.105,1.69,0,1.69
                  UK_RAL-Tier1,0.7,1.059,1.758,0,1.758
                  UK_Sheffield,0.125,0.076,0.201,0,0.201
                        US_BNL,0.227,0.128,0.355,0,0.355
                    US_Caltech,0,0.009,0.009,0,0.009
                   US_Colorado,0.123,0.305,0.429,0,0.429
             US_FNAL-FermiGrid,1.421,23.801,25.221,0.49,25.711
                    US_FNAL-T1,0.077,0.147,0.224,0,0.224
                  US_FermiGrid,0.22,4.647,4.866,0.491,5.357
                   US_Michigan,0,0.002,0.003,0,0.003
                      US_NERSC,1.706,0,1.706,0,1.706
                   US_Nebraska,0,0.004,0.004,0,0.004
                  US_NotreDame,0.01,0.021,0.031,0,0.031
                      US_Omaha,0,0.002,0.002,0,0.002
                 US_PuertoRico,0.001,0.02,0.022,0,0.022
                     US_SU-ITS,0,0.175,0.175,0,0.175
                       US_Swan,0,0.001,0.001,0,0.001
                       US_UCSD,0.011,0.033,0.044,0,0.044
                   US_UChicago,0.244,0.153,0.396,0,0.396
                  US_UConn-HPC,0.036,0.029,0.064,0,0.064
                        US_WSU,0,0.032,0.032,0,0.032
                  US_Wisconsin,0.006,0.04,0.046,0,0.046
                     undefined,0.007,0.097,0.104,0,0.104
                         Total,10.778,37.916,48.694,0.98,49.674
