                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                       BR_CBPF,     0.295,     0.100,     0.395,     0.000,     0.395
                        CA_SFU,     0.004,     0.007,     0.011,     0.000,     0.011
                   CA_Victoria,     0.080,     0.149,     0.229,     0.000,     0.229
                          CERN,     0.593,     0.793,     1.386,     0.000,     1.386
                 CH_UNIBE-LHEP,     0.030,     0.002,     0.033,     0.000,     0.033
                        CZ_FZU,     0.521,     0.423,     0.944,     0.000,     0.944
                     ES_CIEMAT,     0.000,     0.023,     0.023,     0.000,     0.023
                        ES_PIC,     0.203,     0.224,     0.427,     0.000,     0.427
                    FR_CCIN2P3,     0.362,     0.251,     0.614,     0.000,     0.614
                       IN_TIFR,     0.060,     0.363,     0.423,     0.000,     0.423
                       IT_CNAF,     0.000,     0.033,     0.033,     0.000,     0.033
                     NL_NIKHEF,     0.375,     0.234,     0.608,     0.000,     0.608
                   NL_SURFsara,     0.833,     0.715,     1.548,     0.000,     1.548
                       RU_JINR,     0.052,     0.217,     0.270,     0.000,     0.270
                    UK_Bristol,     0.090,     0.338,     0.428,     0.000,     0.428
                     UK_Brunel,     0.139,     0.158,     0.298,     0.000,     0.298
                  UK_Edinburgh,     0.191,     0.055,     0.246,     0.000,     0.246
                   UK_Imperial,     0.192,     0.127,     0.319,     0.000,     0.319
                  UK_Lancaster,     0.206,     0.093,     0.298,     0.000,     0.298
                  UK_Liverpool,     0.100,     0.052,     0.152,     0.000,     0.152
                 UK_Manchester,     0.249,     0.788,     1.037,     0.000,     1.037
                     UK_Oxford,     0.081,     0.106,     0.187,     0.000,     0.187
                       UK_QMUL,     0.438,     0.137,     0.575,     0.000,     0.575
                    UK_RAL-PPD,     0.575,     0.983,     1.558,     0.000,     1.558
                  UK_RAL-Tier1,     0.700,     0.872,     1.572,     0.000,     1.572
                  UK_Sheffield,     0.125,     0.076,     0.200,     0.000,     0.200
                        US_BNL,     0.213,     0.095,     0.309,     0.000,     0.309
                    US_Caltech,     0.000,     0.009,     0.009,     0.000,     0.009
                   US_Colorado,     0.119,     0.236,     0.355,     0.000,     0.355
             US_FNAL-FermiGrid,     1.327,    21.442,    22.769,     0.490,    23.259
                    US_FNAL-T1,     0.076,     0.138,     0.214,     0.000,     0.214
                  US_FermiGrid,     0.220,     4.679,     4.899,     0.494,     5.393
                       US_MWT2,     0.000,     0.000,     0.000,     0.000,     0.000
                   US_Michigan,     0.000,     0.002,     0.003,     0.000,     0.003
                      US_NERSC,     0.333,     0.000,     0.333,     0.000,     0.333
                   US_Nebraska,     0.000,     0.004,     0.004,     0.000,     0.004
                  US_NotreDame,     0.009,     0.021,     0.030,     0.000,     0.030
                      US_Omaha,     0.000,     0.002,     0.002,     0.000,     0.002
                 US_PuertoRico,     0.001,     0.018,     0.019,     0.000,     0.019
                     US_SU-ITS,     0.000,     0.165,     0.166,     0.000,     0.166
                       US_Swan,     0.000,     0.001,     0.001,     0.000,     0.001
                       US_UCSD,     0.010,     0.029,     0.039,     0.000,     0.039
                   US_UChicago,     0.239,     0.091,     0.330,     0.000,     0.330
                  US_UConn-HPC,     0.035,     0.026,     0.061,     0.000,     0.061
                        US_WSU,     0.000,     0.032,     0.032,     0.000,     0.032
                  US_Wisconsin,     0.006,     0.035,     0.040,     0.000,     0.040
                     undefined,     0.007,     0.092,     0.100,     0.000,     0.100
                         Total,     9.091,    34.439,    43.530,     0.984,    44.514
