                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,         6,         5,        12,         0,        12
                            CA,         6,        24,        31,         0,        31
                          CERN,       105,       108,       213,         0,       213
                            CH,         0,         0,         0,         0,         0
                            CZ,        21,        32,        54,         0,        54
                            ES,        38,        53,        92,         0,        92
                            FR,        11,        29,        41,         0,        41
                            IN,        27,        48,        76,         0,        76
                            NL,       116,       142,       259,         0,       259
                            RU,         8,        28,        37,         0,        37
                            UK,       310,       379,       689,         0,       689
                       US FNAL,       270,      2182,      2452,      1484,      3937
                        US OSG,        28,        45,        73,         0,        73
                     undefined,       186,        29,       216,         0,       216
                         Total,      1140,      3111,      4251,      1484,      5736
