                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,     0.296,     0.102,     0.398,     0.000,     0.398
                            CA,     0.085,     0.156,     0.241,     0.000,     0.241
                          CERN,     0.632,     0.921,     1.554,     0.000,     1.554
                            CH,     0.030,     0.003,     0.033,     0.000,     0.033
                            CZ,     0.562,     0.530,     1.092,     0.000,     1.092
                            ES,     0.218,     0.281,     0.499,     0.000,     0.499
                            FR,     0.384,     0.270,     0.654,     0.000,     0.654
                            IN,     0.060,     0.368,     0.428,     0.000,     0.428
                            IT,     0.000,     0.083,     0.083,     0.000,     0.083
                            NL,     1.215,     0.975,     2.191,     0.000,     2.191
                            RU,     0.052,     0.217,     0.270,     0.000,     0.270
                            UK,     3.160,     4.375,     7.535,     0.000,     7.535
                            US,     4.086,    29.589,    33.675,     0.984,    34.659
                     undefined,     0.007,     0.097,     0.104,     0.000,     0.104
                         Total,    10.790,    37.968,    48.757,     0.984,    49.741
