filters,"Sum of SlotHours"
US,"2,586,131.588"
UK,"6,654,508.985"
CERN,"2,177,075.164"
NL,"2,479,794.126"
CZ,"572,803.224"
ES,"890,537.419"
IN,"921,499.451"
FR,"352,015.41"
BR,"115,875.294"
RU,"283,430.087"
CA,"293,841.104"
CH,"1,705.243"
Fermilab,"21,652,655.722"
