filters,"Sum of SlotHours"
US,"5,194,296.883"
UK,"8,299,968.153"
CERN,"2,683,179.839"
NL,"1,838,396.279"
CZ,"1,117,106.205"
ES,"414,536.195"
IN,"695,955.726"
FR,"299,641.141"
BR,"163,491.854"
RU,"73,559.797"
CA,"53,972.606"
CH,"9,692.298"
Fermilab,"26,793,391.612"
