year	    det/mc	                expt	              stream	                tier	files	events	size	TB	size/event	MB
2018	  detector	        protodune-sp	             cosmics	   hit-reconstructed	15066	1610790	41.718	TB	25.899	MB
2018	  detector	        protodune-sp	         calibration	   hit-reconstructed	2386	1490149	 4.043	TB	 2.713	MB
2018	  detector	        protodune-sp	             physics	   hit-reconstructed	44283	2535322	126.759	TB	49.997	MB
2018	  detector	        protodune-sp	                out2	   hit-reconstructed	2427	218373	 2.325	TB	10.647	MB
2018	  detector	        protodune-sp	            pedestal	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-sp	               study	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        protodune-dp	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	             iceberg	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-sp	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	   vd-coldbox-bottom	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	      vd-coldbox-top	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	          hd-coldbox	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-hd	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	           fardet-vd	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	dc4-vd-coldbox-bottom	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	  dc4-vd-coldbox-top	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	        hd-protodune	                 ALL	   hit-reconstructed	0	0	 0.000	TB	 0.000	MB
2018	  detector	                 ALL	                 ALL	  full-reconstructed	76093	14753666	1160.566	TB	78.663	MB
2018	  detector	                 ALL	                out1	  full-reconstructed	0	0	 0.000	TB	 0.000	MB
