filters,"Sum of SlotHours"
US,"3,871,009.712"
UK,"241,230.66"
CERN,"210,256.799"
NL,"150.154"
CZ,"7,893.157"
ES,"5,196.884"
IN,0
FR,"10,937.465"
BR,"1,646.281"
RU,0
CA,0
CH,0
Fermilab,"1,304,272.063"
