Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026
National(PB)	,     9.1 	,    12.0 	,    13.1 	,    15.4 	,    19.5 	,    21.6 	,    19.3
FNAL(PB)	,     3.6 	,     4.4 	,     5.4 	,     7.8 	,     8.8 	,     8.8 	,     6.5
CERN(PB)	,     0.5 	,     0.4 	,     1.1 	,     2.6 	,     2.3 	,     1.6 	,     0.1
Total(PB)	,    13.2 	,    16.8 	,    19.6 	,    25.8 	,    30.7 	,    32.0 	,    25.
