Total-CPU	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
PDs (MWC-MWallHr)	,    52.9 	,    68.5 	,    69.6 	,    59.7 	,    71.4 	,    81.0 	,    79.5 	,    59.3 	,    16.4 	,    13.0 	,     1.7 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
FDs (MWC-MWallHr)	,     0.0 	,     0.0 	,     2.0 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     6.7 	,    13.0 	,    21.5 	,    30.1 	,    38.6 	,    47.1 	,    55.6 	,    72.6 	,    89.7 	,   106.7 	,   123.7 	,   140.7 	,   157.8
ND (MWC-MWallHr)	,     0.0 	,     3.6 	,     3.6 	,     3.6 	,     3.6 	,     3.6 	,     3.6 	,     5.4 	,     5.4 	,     5.4 	,     5.4 	,     5.4 	,     5.5 	,     5.5 	,     5.6 	,     5.6 	,     5.7 	,     5.7 	,     5.8 	,     5.8 	,     5.9
NDLAr (MWC-MWallHr)	,     0.0 	,     0.0 	,     6.9 	,     6.9 	,     6.9 	,     6.9 	,    34.5 	,    69.0 	,   103.5 	,   103.5 	,   103.5 	,   120.6 	,   137.7 	,   154.8 	,   171.9 	,   189.0 	,   206.1 	,   223.2 	,   240.3 	,   257.4 	,   274.5
FNAL (MWC-MWallHr)	,    21.1 	,    28.9 	,    32.8 	,    30.4 	,    35.1 	,    38.9 	,    49.4 	,    55.8 	,    52.8 	,    67.5 	,    66.1 	,    78.1 	,    90.9 	,   103.7 	,   116.6 	,   133.6 	,   150.7 	,   167.8 	,   184.9 	,   202.0 	,   219.1
CERN (MWC-MWallHr)	,     5.3 	,     7.2 	,     8.2 	,     7.6 	,     8.8 	,     9.7 	,    12.3 	,    14.0 	,    13.2 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
National (MWC-MWallHr)	,    26.4 	,    36.1 	,    41.0 	,    38.0 	,    43.9 	,    48.6 	,    61.7 	,    69.8 	,    66.0 	,    67.5 	,    66.1 	,    78.1 	,    90.9 	,   103.7 	,   116.6 	,   133.6 	,   150.7 	,   167.8 	,   184.9 	,   202.0 	,   219.1
Total (MWC-MWallHr)	,    52.9 	,    72.1 	,    82.1 	,    76.0 	,    87.7 	,    97.2 	,   123.4 	,   139.5 	,   132.0 	,   135.0 	,   132.1 	,   156.1 	,   181.8 	,   207.4 	,   233.1 	,   267.3 	,   301.5 	,   335.6 	,   369.8 	,   404.0 	,   438.2
