Cumulative-Tape	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
National(PB)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,   110.2 	,   133.0 	,   156.5 	,   179.9 	,   203.2 	,   233.3 	,   263.3 	,   300.0 	,   338.3 	,   369.2 	,   397.4 	,   426.3
FNAL(PB)	,    10.7 	,    16.0 	,    19.2 	,    37.6 	,    62.3 	,    86.4 	,   109.9 	,   132.2 	,   158.6 	,   110.2 	,   133.0 	,   156.5 	,   179.9 	,   203.2 	,   233.3 	,   263.3 	,   300.0 	,   338.3 	,   369.2 	,   397.4 	,   426.3
CERN(PB)	,     3.0 	,     3.5 	,     3.6 	,     4.0 	,     5.5 	,     6.3 	,     6.2 	,     6.2 	,    13.5 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
Total(PB)	,    13.7 	,    19.5 	,    22.8 	,    41.6 	,    67.8 	,    92.7 	,   116.2 	,   138.4 	,   172.1 	,   220.4 	,   265.9 	,   313.0 	,   359.8 	,   406.4 	,   466.7 	,   526.6 	,   600.0 	,   676.7 	,   738.4 	,   794.9 	,   852.
