Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
National(PB)	,     6.1 	,     8.0 	,     7.7 	,    17.3 	,    31.9 	,    36.3 	,    38.6 	,    38.8 	,    34.7 	,    45.6 	,    40.4 	,    38.3 	,    39.7 	,    41.7 	,    43.7 	,    45.8 	,    47.8 	,    49.9 	,    52.0 	,    54.0 	,    56.1
FNAL(PB)	,     5.4 	,     6.8 	,     6.7 	,    14.7 	,    26.9 	,    30.1 	,    31.4 	,    31.5 	,    31.9 	,    30.2 	,    28.4 	,    28.1 	,    28.3 	,    28.9 	,    37.3 	,    37.7 	,    45.6 	,    46.8 	,    47.3 	,    47.6 	,    48.9
CERN(PB)	,     1.7 	,     2.0 	,     2.1 	,     4.4 	,     7.8 	,     8.3 	,     8.2 	,     8.3 	,    11.1 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
Total(PB)	,    13.2 	,    16.8 	,    16.5 	,    36.4 	,    66.6 	,    74.7 	,    78.2 	,    78.6 	,    77.6 	,    75.7 	,    68.8 	,    66.4 	,    67.9 	,    70.6 	,    81.0 	,    83.5 	,    93.4 	,    96.7 	,    99.3 	,   101.6 	,   104.
