Cumulative-Tape	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     5.5 	,     6.8 	,     6.8 	,     6.8 	,     9.8 	,    11.4 	,    11.4 	,    11.4 	,    26.1 	,    55.4 	,    84.6 	,   114.7 	,   144.5 	,   174.1 	,   219.2 	,   263.8 	,   322.8 	,   382.8 	,   442.3 	,   501.1 	,   561.1
Test(PB)	,     0.5 	,     0.1 	,     0.4 	,     1.1 	,     1.3 	,     1.3 	,     1.0 	,     1.0 	,     1.0 	,     1.0 	,     1.0 	,     1.0 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5
Reco-Data-Store(PB)	,     2.8 	,     4.0 	,     4.6 	,     4.9 	,     6.7 	,     9.8 	,    13.1 	,    14.6 	,    14.7 	,    14.7 	,    14.7 	,    15.2 	,    16.2 	,    17.2 	,    18.0 	,    18.9 	,    20.5 	,    23.1 	,    26.5 	,    28.9 	,    30.4
Sim-Store(PB)	,     5.0 	,     8.5 	,    11.0 	,    28.8 	,    50.1 	,    70.3 	,    90.7 	,   111.4 	,   130.4 	,   149.3 	,   165.6 	,   182.1 	,   198.7 	,   214.6 	,   229.0 	,   243.3 	,   256.3 	,   270.3 	,   269.1 	,   264.3 	,   260.6
Total(PB)	,    13.7 	,    19.5 	,    22.8 	,    41.6 	,    67.8 	,    92.7 	,   116.2 	,   138.4 	,   172.1 	,   220.4 	,   265.9 	,   313.0 	,   359.8 	,   406.4 	,   466.7 	,   526.6 	,   600.0 	,   676.7 	,   738.4 	,   794.9 	,   852.
