HS23	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
PDs (kHS23-yrs)	,37 	,46 	,20 	,10 	,15 	,14 	,7 	,4 	,1 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0
FDs (kHS23-yrs)	,0 	,0 	,0 	,21 	,21 	,10 	,21 	,17 	,15 	,24 	,10 	,29 	,26 	,15 	,30 	,21 	,25 	,26 	,31 	,20 	,35
ND-SAND (kHS23-yrs)	,0 	,6 	,6 	,6 	,6 	,6 	,6 	,9 	,9 	,9 	,9 	,9 	,9 	,9 	,10 	,10 	,10 	,10 	,10 	,10 	,10
ND-LAr+TMS (kHS23-yrs)	,0 	,0 	,12 	,12 	,12 	,12 	,61 	,123 	,185 	,185 	,185 	,216 	,247 	,277 	,308 	,339 	,369 	,400 	,431 	,461 	,492
FNAL (kHS23-yrs)	,14 	,21 	,15 	,20 	,22 	,17 	,39 	,62 	,84 	,110 	,103 	,127 	,141 	,151 	,174 	,185 	,202 	,218 	,236 	,246 	,269
CERN (kHS23-yrs)	,3 	,5 	,3 	,5 	,5 	,4 	,9 	,15 	,21 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0
National (kHS23-yrs)	,18 	,26 	,19 	,25 	,28 	,21 	,48 	,78 	,105 	,110 	,103 	,127 	,141 	,151 	,174 	,185 	,202 	,218 	,236 	,246 	,269
Total (kHS23-yrs)	,37 	,52 	,39 	,50 	,56 	,43 	,97 	,156 	,211 	,220 	,206 	,255 	,283 	,303 	,349 	,370 	,405 	,437 	,473 	,492 	,538
