Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     0.6 	,     0.7 	,     0.7 	,     0.7 	,     1.5 	,     0.8 	,     0.0 	,     0.0 	,     7.3 	,    14.6 	,    14.6 	,    15.0 	,    14.9 	,    14.8 	,    22.6 	,    22.3 	,    29.5 	,    30.0 	,    29.8 	,    29.4 	,    30.0
Test(PB)	,     0.5 	,     0.1 	,     0.4 	,     1.1 	,     1.3 	,     1.3 	,     1.0 	,     1.0 	,     1.0 	,     1.0 	,     1.0 	,     1.0 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5 	,     0.5
Reco-Data-Store(PB)	,     5.6 	,     7.3 	,     6.3 	,     4.2 	,     5.2 	,    10.4 	,    16.3 	,    15.8 	,     9.8 	,     3.3 	,     0.4 	,     1.1 	,     2.9 	,     5.7 	,     8.4 	,    11.1 	,    13.9 	,    16.6 	,    19.4 	,    22.1 	,    24.8
Sim-Store(PB)	,     6.6 	,     8.6 	,     9.1 	,    30.4 	,    58.6 	,    62.3 	,    60.9 	,    61.8 	,    59.6 	,    56.8 	,    52.8 	,    49.2 	,    49.6 	,    49.6 	,    49.6 	,    49.6 	,    49.6 	,    49.6 	,    49.6 	,    49.6 	,    49.6
Total(PB)	,    13.2 	,    16.8 	,    16.5 	,    36.4 	,    66.6 	,    74.7 	,    78.2 	,    78.6 	,    77.6 	,    75.7 	,    68.8 	,    66.4 	,    67.9 	,    70.6 	,    81.0 	,    83.5 	,    93.4 	,    96.7 	,    99.3 	,   101.6 	,   104.
