Cores	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
PDs (2020-vintage MWC Cores)	,3248 	,3982 	,4951 	,5070 	,4981 	,4253 	,1715 	,1441 	,1441 	,823 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0
FDs (2020-vintage MWC Cores)	,0 	,917 	,917 	,917 	,917 	,917 	,1834 	,2865 	,4253 	,5642 	,7030 	,8419 	,9807 	,11195 	,13278 	,15361 	,17443 	,19526 	,21609
ND-SAND (2020-vintage MWC Cores)	,0 	,0 	,48 	,48 	,244 	,244 	,244 	,978 	,1474 	,2948 	,2955 	,2962 	,2969 	,2975 	,2982 	,2989 	,2995 	,3002 	,3009
ND-LAr+TMS (2020-vintage MWC Cores)	,0 	,0 	,937 	,937 	,4688 	,4688 	,4688 	,4688 	,7012 	,60909 	,63233 	,65557 	,67881 	,70205 	,72529 	,74853 	,77177 	,79500 	,81824
FNAL (2020-vintage MWC Cores)	,1299 	,1959 	,2742 	,2789 	,4332 	,4041 	,3393 	,4986 	,7090 	,35162 	,36610 	,38469 	,40329 	,42188 	,44395 	,46601 	,48808 	,51015 	,53221
CERN (2020-vintage MWC Cores)	,324 	,489 	,685 	,697 	,1083 	,1010 	,848 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0 	,0
Global (2020-vintage MWC Cores)	,1624 	,2449 	,3427 	,3487 	,5416 	,5051 	,4241 	,4986 	,7090 	,35162 	,36610 	,38469 	,40329 	,42188 	,44395 	,46601 	,48808 	,51015 	,53221
Total (2020-vintage MWC Cores)	,3248 	,4899 	,6855 	,6974 	,10832 	,10103 	,8483 	,9973 	,14181 	,70324 	,73220 	,76939 	,80658 	,84377 	,88790 	,93203 	,97617 	,102030 	,106443
