Cumulative-Tape	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     5.9 	,     5.9 	,    12.6 	,    18.5 	,    21.0 	,    21.0 	,    21.0 	,    55.1 	,   107.3 	,   159.4 	,   211.6 	,   263.7 	,   315.9 	,   368.0 	,   446.0 	,   524.0 	,   602.0 	,   680.0 	,   758.0
Test(PB)	,     2.2 	,     3.2 	,     2.8 	,     2.7 	,     3.7 	,     6.2 	,    12.1 	,    14.1 	,    14.1 	,    14.1 	,    13.1 	,    13.1 	,    13.1 	,    13.1 	,    13.1 	,    13.1 	,     3.1 	,     3.1 	,     3.1
Reco-Data-Store(PB)	,     4.2 	,     4.2 	,     5.0 	,     6.4 	,     8.1 	,     8.9 	,     9.2 	,     9.3 	,     9.9 	,    11.0 	,    12.7 	,    14.5 	,    16.2 	,    18.2 	,    21.0 	,    25.2 	,    30.1 	,    34.9 	,    39.8
Sim-Store(PB)	,    10.5 	,    15.0 	,    19.6 	,    23.1 	,    26.9 	,    30.7 	,    33.5 	,    36.6 	,    40.0 	,    46.9 	,    53.8 	,    60.1 	,    64.8 	,    69.5 	,    73.1 	,    77.8 	,    80.2 	,    82.5 	,    85.9
Total(PB)	,    22.8 	,    28.3 	,    40.0 	,    50.7 	,    59.7 	,    66.8 	,    75.8 	,   115.1 	,   171.3 	,   231.5 	,   291.2 	,   351.5 	,   410.0 	,   468.8 	,   553.3 	,   640.1 	,   715.5 	,   800.6 	,   886.
