Cumulative-Disk	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     0.0 	,     0.0 	,     3.4 	,     2.9 	,     1.3 	,     0.0 	,     0.0 	,    17.1 	,    26.1 	,    26.1 	,    26.1 	,    26.1 	,    26.1 	,    26.1 	,    39.0 	,    39.0 	,    39.0 	,    39.0 	,    39.0
Test(PB)	,     2.2 	,     3.2 	,     2.8 	,     2.7 	,     3.7 	,     6.2 	,    12.1 	,    14.1 	,    14.1 	,    14.1 	,    13.1 	,    13.1 	,    13.1 	,    13.1 	,    13.1 	,    13.1 	,     3.1 	,     3.1 	,     3.1
Reco-Data-Store(PB)	,     5.4 	,     2.8 	,     2.4 	,     4.5 	,     7.7 	,     7.8 	,     5.6 	,     2.4 	,     1.9 	,     3.6 	,     6.9 	,    10.1 	,    13.3 	,    16.5 	,    19.9 	,    23.3 	,    26.7 	,    30.2 	,    33.7
Sim-Store(PB)	,     8.2 	,    10.1 	,    13.7 	,    12.1 	,    10.9 	,    11.4 	,     9.9 	,     8.9 	,     9.8 	,    15.5 	,    20.7 	,    20.7 	,    20.7 	,    20.7 	,    20.7 	,    20.7 	,    20.7 	,    20.7 	,    20.7
Total(PB)	,    15.9 	,    16.2 	,    22.2 	,    22.3 	,    23.6 	,    25.4 	,    27.6 	,    42.4 	,    51.9 	,    59.2 	,    66.7 	,    70.0 	,    73.2 	,    76.4 	,    92.7 	,    96.1 	,    89.5 	,    93.0 	,    96.
