Detectors,DataTypes,Resources,Locations,Units,2024,2025,2026,2027,2028,2029,2030,2031,2032,Explanation
SP,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
SP,Test,input,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
SP,Sim-Events,input,Total,Million,0.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
Coldbox,Test,input,Total,TB,151.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
Coldbox,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
Coldbox,Sim-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
PDHD,Raw-Events,input,Total,Million,34.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
PDHD,TP,input,Total,TB,1679.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
PDHD,Test,input,Total,TB,90.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
PDHD,Sim-Events,input,Total,Million,2.600,5.000,5.000,5.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
DP,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
DP,Test,input,Total,TB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
DP,Sim-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
PDVD,Raw-Events,input,Total,Million,5.100,30.000,5.100,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
PDVD,TP,input,Total,TB,0.000,1000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
PDVD,Test,input,Total,TB,0.200,500.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
PDVD,Sim-Events,input,Total,Million,0.186,5.100,5.100,5.100,0.000,0.000,0.000,0.000,0.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
FDHD,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,1.100,2.200,2.200,Inputs from NearTerm_2025-10-26-2040_timeline.csv
FDHD,TP,input,Total,TB,0.000,0.000,0.000,3000.000,3000.000,3000.000,2733.485,2429.150,2429.150,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
FDHD,Test,input,Total,TB,0.000,0.000,0.000,2500.000,8000.000,2500.000,2277.904,2024.291,2024.291,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
FDHD,Sim-Events,input,Total,Million,22.629,15.000,15.000,15.000,100.000,40.000,40.000,40.000,40.000,Inputs from NearTerm_2025-10-26-2040_timeline.csv
FDVD,Raw-Events,input,Total,Million,0.000,0.000,0.000,0.000,0.000,0.000,2.200,2.200,2.200,Inputs from NearTerm_2025-10-26-2040_timeline.csv
FDVD,TP,input,Total,TB,0.000,0.000,0.000,3100.000,3100.000,3100.000,2824.601,2510.121,2510.121,Inputs from NearTerm_2025-10-26-2040_timeline.csv rescaled  downward by 1.63 to meet cap of 30
