Locations,2022,2023,2024,2025,2026,2027,2028,2029,2030
US,1283,1614,6277,8738,9557,9769,7934,27125,28312
CERN,69,74,3747,4194,1511,0,0,0,0
Global,869,797,909,937,4162,6687,7657,27125,28200
Total,2222,2486,10934,13870,15231,16457,15592,54250,56625
Total,2222,2486,10934,13870,15231,16457,15592,54250,56625
