DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,0,0,0,0,0,21725,25850
TP,0,0,0,0,4100,6100,6100,6100,6100
Test,0,0,0,0,2050,5100,5200,5100,5100
Sub-Total,0,0,0,0,6150,11200,11300,32925,37050
