DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Reco-Sim,16,8,9,23,50,50,49,54,57
Reco-Data,1,0,5,12,14,8,2,6,30
Analysis-Data,4,4,7,10,7,7,7,10,18
Analysis-Sim,14,16,17,22,29,29,25,26,27
Total,36,29,40,68,101,95,84,97,134
