DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,6722,5888,2522,0,0,39589,42312
TP,0,0,681,2000,4100,6100,6100,5558,4939
Reco-Sim,1849,1336,1438,2897,3197,3197,2015,2390,2640
Reco-Data,234,0,802,1385,1662,860,277,66,604
Test,138,1149,1291,1700,3750,6300,7200,6646,6129
Total,2222,2486,10934,13870,15231,16457,15592,54250,56625
