DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,0,0,0,0,0,0,0,19794,20931
TP,0,0,0,0,4100,6100,6100,5558,4939
Test,0,0,0,0,2050,5100,5200,4646,4129
Sub-Total,0,0,0,0,6150,11200,11300,30000,30000
