DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Reco-Sim,1833,1018,1086,2636,5793,5793,5618,6205,6596
Reco-Data,182,0,682,1372,1647,965,274,701,3491
Analysis-Data,504,504,845,1190,823,823,823,1174,2103
Analysis-Sim,1634,1837,2019,2583,3372,3372,2879,3026,3124
Total,4154,3360,4633,7783,11637,10955,9595,11107,15315
