Detectors,2022,2023,2024,2025,2026,2027,2028,2029,2030
SP,14083,14825,15021,15021,15021,15021,15021,15021,15021
DP,227,97,97,97,97,97,97,97,97
PDHD,8,144,7656,11939,15489,16939,17114,17114,17114
PDVD,0,5,1264,8883,11739,12871,12973,12973,12973
FDVD,1824,1983,2149,2449,5899,10849,14789,50340,82016
FDHD,36,471,924,1224,4524,9324,13224,23974,40376
ND-SAND,0,0,200,225,350,475,1400,1900,2950
ND-LAr+TMS,0,1000,1000,1050,1300,1550,1800,2050,2900
Total,16180,18528,28313,40891,54422,67129,76421,123472,173451
