DataTypes,2022,2023,2024,2025,2026,2027,2028,2029,2030
Raw-Data,5218,5218,11940,17828,20350,20350,20350,59939,102252
TP,0,0,681,2681,6781,12881,18981,24539,29478
Reco-Sim,6928,8265,9703,12600,15797,18994,21009,23399,26039
Reco-Data,3895,3895,4697,6082,7744,8604,8881,8947,9551
Test,138,1149,1291,1700,3750,6300,7200,6646,6129
Total,16180,18528,28313,40891,54422,67129,76421,123472,173451
