Locations,2022,2023,2024,2025,2026,2027,2028,2029,2030
US,1043,1429,7651,12400,12458,11618,7959,26826,27982
CERN,73,149,4133,5444,1761,0,0,0,0
Global,2273,1725,3982,7462,11428,12349,9470,8890,9410
Total,3390,3303,15766,25306,25648,23968,17430,35717,37393
Total,3390,3303,15766,25306,25648,23968,17430,35717,37393
