Locations,2022,2023,2024,2025,2026,2027,2028,2029,2030
US,12571,14116,19820,27912,36620,44514,49299,72824,97813
CERN,2678,2683,6356,10504,11765,11515,11515,11515,11515
Global,930,1727,2137,2474,6037,11099,15607,39132,64009
Total,16180,18528,28313,40891,54422,67129,76421,123472,173451
Total,16180,18528,28313,40891,54422,67129,76421,123472,173451
