Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     0.6 	,     0.7 	,     1.3 	,     1.3 	,     5.0 	,     5.0 	,     1.3 	,     1.3 	,     1.9 	,    17.1 	,    25.9 	,    26.1 	,    26.1 	,    26.1 	,    26.1 	,    30.0 	,    30.0 	,    30.0 	,    30.0 	,    30.0 	,    30.0
Test(PB)	,     0.5 	,     0.1 	,     1.4 	,     2.1 	,     1.4 	,     1.8 	,     2.0 	,     3.5 	,     6.1 	,     6.6 	,     7.1 	,     7.1 	,     6.6 	,     6.6 	,     6.6 	,     6.6 	,     6.6 	,     1.6 	,     1.6 	,     1.6 	,     1.6
Reco-Data-Store(PB)	,     5.6 	,     7.3 	,     6.8 	,     5.9 	,     6.7 	,    10.0 	,    13.3 	,    12.7 	,     8.3 	,     3.5 	,     1.1 	,     1.9 	,     4.2 	,     7.4 	,    10.7 	,    14.1 	,    17.7 	,    21.4 	,    25.2 	,    28.9 	,    32.7
Sim-Store(PB)	,     6.6 	,     8.6 	,    11.1 	,    10.7 	,    10.0 	,    10.0 	,    10.3 	,    11.2 	,     8.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8 	,     5.8
Total(PB)	,    13.2 	,    16.8 	,    20.6 	,    20.0 	,    23.1 	,    26.8 	,    26.8 	,    28.7 	,    25.0 	,    32.9 	,    39.8 	,    40.8 	,    42.6 	,    45.9 	,    49.1 	,    56.4 	,    60.0 	,    58.8 	,    62.5 	,    66.3 	,    70.
