Cumulative-Disk	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
National(PB)	,     6.1 	,     8.0 	,     9.0 	,     8.3 	,     8.3 	,    10.0 	,    11.8 	,    11.9 	,     8.5 	,    10.2 	,     8.7 	,     9.3 	,    10.8 	,    13.2 	,    15.6 	,    18.2 	,    20.9 	,    21.2 	,    24.0 	,    26.8 	,    29.6
FNAL(PB)	,     5.4 	,     6.8 	,     8.5 	,     8.3 	,     9.9 	,    11.4 	,    11.1 	,    11.9 	,    10.8 	,    22.6 	,    31.1 	,    31.5 	,    31.9 	,    32.7 	,    33.5 	,    38.2 	,    39.1 	,    37.6 	,    38.5 	,    39.5 	,    40.4
CERN(PB)	,     1.7 	,     2.0 	,     3.1 	,     3.3 	,     4.9 	,     5.4 	,     4.0 	,     4.8 	,     5.7 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
Total(PB)	,    13.2 	,    16.8 	,    20.6 	,    20.0 	,    23.1 	,    26.8 	,    26.8 	,    28.7 	,    25.0 	,    32.9 	,    39.8 	,    40.8 	,    42.6 	,    45.9 	,    49.1 	,    56.4 	,    60.0 	,    58.8 	,    62.5 	,    66.3 	,    70.
