Cumulative-Tape	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
Raw-Store(PB)	,     5.5 	,     6.8 	,     9.3 	,    11.9 	,    21.9 	,    32.0 	,    34.6 	,    34.6 	,    38.3 	,    72.4 	,   124.1 	,   176.3 	,   228.4 	,   280.6 	,   332.7 	,   392.7 	,   452.7 	,   512.7 	,   572.7 	,   632.7 	,   692.7
Test(PB)	,     0.5 	,     0.1 	,     1.4 	,     2.1 	,     1.4 	,     1.8 	,     2.0 	,     3.5 	,     6.1 	,     6.6 	,     7.1 	,     7.1 	,     6.6 	,     6.6 	,     6.6 	,     6.6 	,     6.6 	,     1.6 	,     1.6 	,     1.6 	,     1.6
Reco-Data-Store(PB)	,     2.8 	,     4.0 	,     4.9 	,     5.7 	,     7.4 	,     9.9 	,    12.4 	,    13.8 	,    14.1 	,    14.1 	,    14.3 	,    15.0 	,    16.2 	,    17.6 	,    18.9 	,    20.5 	,    22.8 	,    26.2 	,    30.1 	,    33.9 	,    37.5
Sim-Store(PB)	,     5.0 	,     8.5 	,    12.3 	,    15.7 	,    19.0 	,    22.3 	,    25.8 	,    29.8 	,    31.7 	,    33.6 	,    35.6 	,    37.5 	,    39.4 	,    40.8 	,    40.5 	,    40.3 	,    38.6 	,    36.8 	,    35.4 	,    34.0 	,    32.6
Total(PB)	,    13.7 	,    19.5 	,    28.0 	,    35.4 	,    49.7 	,    66.0 	,    74.8 	,    81.6 	,    90.1 	,   126.7 	,   181.0 	,   235.8 	,   290.6 	,   345.5 	,   398.7 	,   460.0 	,   520.7 	,   577.2 	,   639.7 	,   702.1 	,   764.
