Cumulative-Tape	,2020 	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027 	,2028 	,2029 	,2030 	,2031 	,2032 	,2033 	,2034 	,2035 	,2036 	,2037 	,2038 	,2039 	,2040
National(PB)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,    63.3 	,    90.5 	,   117.9 	,   145.3 	,   172.8 	,   199.3 	,   230.0 	,   260.3 	,   288.6 	,   319.9 	,   351.1 	,   382.1
FNAL(PB)	,    10.7 	,    16.0 	,    22.6 	,    28.4 	,    38.0 	,    49.1 	,    56.5 	,    62.5 	,    67.9 	,    63.3 	,    90.5 	,   117.9 	,   145.3 	,   172.8 	,   199.3 	,   230.0 	,   260.3 	,   288.6 	,   319.9 	,   351.1 	,   382.1
CERN(PB)	,     3.0 	,     3.5 	,     5.4 	,     7.0 	,    11.6 	,    16.9 	,    18.3 	,    19.0 	,    22.2 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
Total(PB)	,    13.7 	,    19.5 	,    28.0 	,    35.4 	,    49.7 	,    66.0 	,    74.8 	,    81.6 	,    90.1 	,   126.7 	,   181.0 	,   235.8 	,   290.6 	,   345.5 	,   398.7 	,   460.0 	,   520.7 	,   577.2 	,   639.7 	,   702.1 	,   764.
