Cores	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027
PDs (2020-vintage MWC-Wallyr)	,8820 	,8120 	,13862 	,15459 	,16818 	,9717 	,3398
FDs (2020-vintage MWC-Wallyr)	,0 	,2882 	,1740 	,1740 	,2882 	,5736 	,5764
ND (2020-vintage MWC-Wallyr)	,733 	,293 	,293 	,293 	,293 	,293 	,293
FNAL (2020-vintage MWC-Wallyr)	,3821 	,4518 	,6358 	,6997 	,7997 	,6299 	,3782
CERN (2020-vintage MWC-Wallyr)	,955 	,1129 	,1589 	,1749 	,1999 	,1574 	,945
National (2020-vintage MWC-Wallyr)	,4777 	,5648 	,7948 	,8746 	,9997 	,7873 	,4728
Total (2020-vintage MWC-Wallyr)	,9554 	,11296 	,15896 	,17493 	,19994 	,15747 	,9456
