Cumulative-Tape	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027
Raw-Store(PB)	,     6.8 	,     9.3 	,    17.1 	,    24.9 	,    29.9 	,    29.9 	,    29.9
Test(PB)	,     0.1 	,     0.9 	,     1.7 	,     1.1 	,     1.0 	,     0.5 	,     3.0
Reco-Data-Store(PB)	,     4.0 	,     4.8 	,     6.2 	,     8.3 	,    10.9 	,    13.3 	,    14.7
Sim-Store(PB)	,    10.0 	,    14.4 	,    20.8 	,    27.1 	,    33.7 	,    37.6 	,    39.4
National(PB)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
FNAL(PB)	,    17.5 	,    24.3 	,    36.4 	,    48.5 	,    60.1 	,    66.1 	,    70.6
CERN(PB)	,     3.5 	,     5.1 	,     9.4 	,    13.0 	,    15.5 	,    15.2 	,    16.5
Total(PB)	,    21.0 	,    29.4 	,    45.8 	,    61.5 	,    75.6 	,    81.3 	,    87.
