Cumulative-Disk	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027
Raw-Store(PB)	,     0.7 	,     1.2 	,     3.9 	,     3.9 	,     2.5 	,     0.0 	,     0.0
Test(PB)	,     0.1 	,     0.9 	,     1.7 	,     1.1 	,     1.0 	,     0.5 	,     3.0
Reco-Data-Store(PB)	,     5.1 	,     4.1 	,     4.4 	,     7.0 	,     9.4 	,     9.9 	,     7.6
Sim-Store(PB)	,    10.9 	,    13.4 	,    16.2 	,    19.1 	,    19.5 	,    15.8 	,     8.4
Total(PB)	,    16.8 	,    19.6 	,    26.2 	,    31.1 	,    32.4 	,    26.2 	,    19.
