Cumulative-Tape	,2021 	,2022 	,2023 	,2024 	,2025 	,2026 	,2027
National(PB)	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0 	,     0.0
FNAL(PB)	,    17.5 	,    24.3 	,    36.4 	,    48.5 	,    60.1 	,    66.1 	,    70.6
CERN(PB)	,     3.5 	,     5.1 	,     9.4 	,    13.0 	,    15.5 	,    15.2 	,    16.5
Total(PB)	,    21.0 	,    29.4 	,    45.8 	,    61.5 	,    75.6 	,    81.3 	,    87.
