   time in kHS23-Hrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,          0,          2,          9,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          1,          0,          0,          0,          0,         20
CA,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32
CERN,         27,         19,         18,        115,         44,          0,          0,        102,          7,         70,          0,          0,          6,          5,         24,         38,          4,         47,         21,         72,          4,         36,         68,         72,         27,         12,         47,        128,          1,          0,          0,       1027
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
CZ,          1,         10,         87,         52,          7,          0,          0,         14,          5,         28,          0,          0,          1,          0,         45,        175,          0,        135,         57,         20,         47,         78,        140,         13,          2,          0,         43,         66,          0,          0,          0,       1041
ES,          3,          4,         13,          2,          2,          0,          0,          6,          0,          0,          0,          0,          0,          0,          9,          4,          1,          7,          4,          2,          2,          7,          5,        100,         33,          0,         14,         17,          0,          0,          0,        245
FR,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,          1,          0,          3,          0,         17,         10,          2,          4,          9,          6,         11,          0,          0,          5,         14,          0,          0,          0,        163
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,         22,          0,          0,          0,         34
IT,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,         22,         10,          1,         15,         26,         19,          6,         22,         15,         19,          8,          0,         35,         60,          0,          0,          0,        439
NL,          5,          3,         10,         18,          0,          0,          0,          8,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,          0,          0,          0,          0,         45,         74,          0,          0,          0,        176
UK,         40,         69,        110,        134,          9,          3,          5,        148,          2,          9,          0,          4,         30,         11,        231,        113,          7,        119,        130,         56,         94,        197,         75,        206,         89,          9,        890,       1208,         17,          0,          0,       4027
US,        240,        422,       1282,       1433,       1437,         86,         53,        417,         77,        247,         12,         49,        110,        129,        956,       1820,        179,       1150,       1595,        429,        614,        937,        868,        854,        339,        619,       2068,       2200,        227,          0,         31,      20896
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          5,          2,          5,          1,          0,          0,          6,          1,          0,          0,         42
Total,        324,        566,       1664,       1828,       1513,         89,         59,        732,         92,        357,         13,         55,        155,        150,       1292,       2166,        195,       1495,       1847,        606,        775,       1305,       1183,       1284,        503,        643,       3164,       3800,        248,          0,         31,      28149
