   time in kHS23-Yrs by BySite     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR_CBPF,      0.040,      0.007,      0.008,      0.022,      0.005,      0.002,      0.002,      0.003,      0.000,      0.008,      0.003,      0.002,      0.000,      0.102
CA_SFU,      0.004,      0.002,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.007
CA_Victoria,      0.007,      0.002,      0.010,      0.025,      0.011,      0.002,      0.011,      0.009,      0.018,      0.042,      0.012,      0.000,      0.000,      0.149
CERN,      0.117,      0.048,      0.112,      0.166,      0.047,      0.015,      0.044,      0.046,      0.050,      0.085,      0.084,      0.107,      0.000,      0.921
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.003
CZ_FZU,      0.098,      0.018,      0.026,      0.129,      0.040,      0.003,      0.010,      0.024,      0.017,      0.024,      0.039,      0.101,      0.000,      0.530
ES_CIEMAT,      0.000,      0.002,      0.002,      0.003,      0.005,      0.001,      0.000,      0.000,      0.000,      0.007,      0.003,      0.000,      0.000,      0.023
ES_PIC,      0.025,      0.011,      0.030,      0.062,      0.019,      0.001,      0.011,      0.030,      0.015,      0.013,      0.008,      0.033,      0.000,      0.258
FR_CCIN2P3,      0.059,      0.014,      0.024,      0.070,      0.014,      0.001,      0.006,      0.040,      0.004,      0.007,      0.012,      0.017,      0.000,      0.270
IN_TIFR,      0.060,      0.000,      0.028,      0.172,      0.043,      0.000,      0.016,      0.007,      0.011,      0.013,      0.012,      0.004,      0.000,      0.368
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.000,      0.083
NL_NIKHEF,      0.076,      0.007,      0.027,      0.062,      0.014,      0.004,      0.011,      0.004,      0.008,      0.018,      0.004,      0.025,      0.000,      0.259
NL_SURFsara,      0.244,      0.026,      0.079,      0.212,      0.019,      0.004,      0.039,      0.003,      0.003,      0.050,      0.037,      0.000,      0.000,      0.716
RU_JINR,      0.032,      0.009,      0.039,      0.117,      0.014,      0.002,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.217
UK_Bristol,      0.091,      0.048,      0.033,      0.060,      0.009,      0.002,      0.012,      0.014,      0.008,      0.030,      0.032,      0.033,      0.000,      0.373
UK_Brunel,      0.037,      0.012,      0.013,      0.035,      0.009,      0.001,      0.009,      0.016,      0.011,      0.013,      0.003,      0.037,      0.000,      0.195
UK_Edinburgh,      0.007,      0.002,      0.003,      0.012,      0.001,      0.000,      0.001,      0.019,      0.003,      0.006,      0.002,      0.003,      0.000,      0.058
UK_Imperial,      0.028,      0.003,      0.007,      0.029,      0.011,      0.001,      0.019,      0.003,      0.004,      0.014,      0.008,      0.043,      0.000,      0.170
UK_Lancaster,      0.019,      0.014,      0.012,      0.027,      0.003,      0.000,      0.007,      0.004,      0.006,      0.000,      0.000,      0.018,      0.000,      0.110
UK_Liverpool,      0.000,      0.000,      0.000,      0.016,      0.007,      0.001,      0.009,      0.009,      0.004,      0.004,      0.002,      0.005,      0.000,      0.056
UK_Manchester,      0.128,      0.148,      0.095,      0.235,      0.017,      0.000,      0.000,      0.007,      0.091,      0.033,      0.037,      0.110,      0.000,      0.900
UK_Oxford,      0.023,      0.009,      0.010,      0.035,      0.006,      0.001,      0.002,      0.003,      0.002,      0.008,      0.007,      0.020,      0.000,      0.126
UK_QMUL,      0.054,      0.009,      0.005,      0.000,      0.001,      0.002,      0.007,      0.047,      0.003,      0.006,      0.003,      0.006,      0.000,      0.143
UK_RAL-PPD,      0.147,      0.082,      0.101,      0.257,      0.049,      0.008,      0.109,      0.038,      0.051,      0.098,      0.045,      0.120,      0.000,      1.106
UK_RAL-Tier1,      0.244,      0.071,      0.052,      0.062,      0.053,      0.021,      0.212,      0.137,      0.000,      0.000,      0.038,      0.171,      0.001,      1.061
UK_Sheffield,      0.006,      0.005,      0.000,      0.041,      0.007,      0.000,      0.005,      0.003,      0.004,      0.004,      0.002,      0.000,      0.000,      0.076
US_BNL,      0.012,      0.003,      0.009,      0.025,      0.005,      0.002,      0.003,      0.002,      0.003,      0.022,      0.012,      0.032,      0.000,      0.128
US_Caltech,      0.000,      0.001,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.009
US_Colorado,      0.036,      0.015,      0.027,      0.048,      0.013,      0.004,      0.021,      0.010,      0.009,      0.029,      0.026,      0.067,      0.000,      0.306
US_FNAL-FermiGrid,      0.000,      2.015,      2.940,      1.231,      1.917,      1.525,      3.300,      3.920,      2.060,      1.515,      1.105,      2.274,      0.006,     23.807
US_FNAL-T1,      0.000,      0.019,      0.012,      0.020,      0.011,      0.003,      0.010,      0.007,      0.015,      0.032,      0.010,      0.008,      0.000,      0.147
US_FermiGrid,      2.785,      1.894,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      4.679
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Nebraska,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
US_NotreDame,      0.004,      0.004,      0.003,      0.002,      0.001,      0.001,      0.002,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.021
US_Omaha,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_PuertoRico,      0.005,      0.001,      0.002,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,      0.002,      0.002,      0.000,      0.020
US_SU-ITS,      0.002,      0.007,      0.008,      0.054,      0.040,      0.005,      0.003,      0.002,      0.002,      0.028,      0.024,      0.000,      0.000,      0.175
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_UCSD,      0.005,      0.004,      0.004,      0.006,      0.001,      0.000,      0.002,      0.001,      0.002,      0.003,      0.002,      0.003,      0.000,      0.033
US_UChicago,      0.000,      0.000,      0.000,      0.006,      0.010,      0.002,      0.009,      0.003,      0.006,      0.030,      0.027,      0.060,      0.000,      0.153
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.002,      0.006,      0.005,      0.002,      0.008,      0.003,      0.000,      0.029
US_WSU,      0.007,      0.010,      0.008,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.032
US_Wisconsin,      0.004,      0.002,      0.002,      0.011,      0.001,      0.001,      0.002,      0.000,      0.000,      0.003,      0.011,      0.003,      0.000,      0.040
undefined,      0.031,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      0.097
Total,      4.435,      4.546,      3.740,      3.277,      2.412,      1.615,      3.901,      4.431,      2.421,      2.159,      1.663,      3.359,      0.008,     37.968
