   time in kHS23-Yrs by BySite     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
US_NotreDame,      0.000,      0.004,      0.005,      0.003,      0.004,      0.001,      0.006,      0.003,      0.000,      0.000,      0.001,      0.003,      0.030
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_PuertoRico,      0.006,      0.005,      0.001,      0.002,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,      0.001,      0.025
US_SU-ITS,      0.000,      0.002,      0.007,      0.008,      0.054,      0.040,      0.005,      0.004,      0.002,      0.002,      0.029,      0.015,      0.166
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_UCSD,      0.008,      0.005,      0.004,      0.004,      0.007,      0.001,      0.001,      0.003,      0.005,      0.005,      0.003,      0.002,      0.047
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.006,      0.010,      0.002,      0.035,      0.214,      0.006,      0.032,      0.024,      0.330
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.002,      0.041,      0.005,      0.002,      0.008,      0.061
US_WSU,      0.001,      0.007,      0.010,      0.008,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.033
US_Wisconsin,      0.008,      0.005,      0.003,      0.002,      0.012,      0.001,      0.001,      0.002,      0.004,      0.000,      0.003,      0.008,      0.049
undefined,      0.037,      0.038,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.137
Total,      2.605,      5.190,      4.647,      3.832,      3.734,      2.611,      1.993,      4.843,      9.376,      3.273,      2.231,      1.798,     46.135
