   time in kHS23-Yrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,      0.001,      0.000,      0.001,      0.003,      0.007,      0.010,      0.006,      0.022,      0.004,      0.000,      0.003,      0.007,      0.064
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.002,      0.006
CA_Victoria,      0.009,      0.065,      0.051,      0.001,      0.000,      0.033,      0.042,      0.033,      0.011,      0.007,      0.011,      0.010,      0.273
CERN,      0.110,      0.198,      0.143,      0.071,      0.125,      0.156,      0.125,      0.156,      0.051,      0.031,      0.076,      0.062,      1.304
CH_UNIBE-LHEP,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
CZ_FZU,      0.060,      0.085,      0.114,      0.018,      0.001,      0.001,      0.094,      0.011,      0.000,      0.000,      0.007,      0.025,      0.417
ES_CIEMAT,      0.010,      0.007,      0.000,      0.000,      0.000,      0.010,      0.004,      0.004,      0.003,      0.001,      0.000,      0.000,      0.038
ES_PIC,      0.039,      0.070,      0.072,      0.020,      0.071,      0.095,      0.100,      0.061,      0.023,      0.013,      0.021,      0.018,      0.602
FR_CCIN2P3,      0.016,      0.037,      0.033,      0.018,      0.067,      0.037,      0.035,      0.044,      0.017,      0.006,      0.019,      0.016,      0.346
IN_TIFR,      0.077,      0.040,      0.076,      0.025,      0.028,      0.065,      0.073,      0.129,      0.016,      0.031,      0.020,      0.027,      0.609
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL_NIKHEF,      0.023,      0.015,      0.016,      0.017,      0.060,      0.061,      0.044,      0.034,      0.004,      0.013,      0.030,      0.033,      0.351
NL_SURFsara,      0.095,      0.066,      0.208,      0.095,      0.093,      0.211,      0.219,      0.165,      0.011,      0.023,      0.057,      0.094,      1.335
RU_JINR,      0.007,      0.006,      0.001,      0.003,      0.076,      0.031,      0.018,      0.051,      0.034,      0.003,      0.052,      0.039,      0.319
UK_Bristol,      0.024,      0.053,      0.021,      0.000,      0.027,      0.028,      0.045,      0.044,      0.009,      0.009,      0.024,      0.022,      0.307
UK_Brunel,      0.007,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.010,      0.007,      0.023,      0.018,      0.078
