   time in kHS23-Hrs by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,     25.380,     58.369,    346.173,     64.351,     74.433,    195.653,     41.185,     17.497,     20.660,     27.244,      0.000,     71.826,   942.771
CA_SFU,     42.383,     13.478,     31.589,     14.820,      0.000,      0.000,      0.000,      0.092,      6.555,      0.000,      0.051,      5.450,   114.419
CA_Victoria,     96.083,     90.903,     58.703,     18.872,     87.561,    217.226,     97.704,     17.078,     97.804,     76.533,    161.367,    368.594,  1388.428
CERN,    667.046,    538.747,   1028.388,    417.850,    979.061,   1452.894,    409.797,    134.931,    383.222,    405.861,    437.579,    743.515,  7598.891
CH_UNIBE-LHEP,      0.385,      0.857,      0.481,      0.378,      0.752,      0.561,      1.161,      0.311,      0.033,      0.184,      0.859,     15.784,    21.747
CZ_FZU,     62.100,    219.037,    858.959,    159.290,    225.842,   1134.307,    353.770,     26.373,     90.039,    205.995,    145.196,    211.415,  3692.325
ES_CIEMAT,      1.265,      4.011,      4.133,     15.991,     19.432,     25.214,     39.571,      5.155,      1.825,      3.544,      2.595,     61.324,   184.059
ES_PIC,    186.948,    154.949,    221.123,     92.462,    265.987,    545.832,    168.725,     12.020,     93.057,    259.482,    129.138,    113.550,  2243.271
FR_CCIN2P3,    170.266,    136.988,    517.348,    121.584,    214.087,    617.231,    121.619,      8.450,     54.951,    349.472,     37.168,     62.896,  2412.059
IN_TIFR,    175.549,    240.187,    524.213,      0.000,    246.211,   1507.668,    380.696,      0.000,    143.509,     64.070,     98.163,    113.087,  3493.353
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     17.603,    17.603
NL_NIKHEF,    265.390,    286.385,    661.530,     65.150,    233.333,    539.862,    126.023,     33.399,     98.848,     35.499,     65.779,    156.183,  2567.379
NL_SURFsara,    497.610,    819.889,   2138.251,    228.767,    692.438,   1859.084,    162.875,     33.965,    341.844,     27.023,     21.928,    440.232,  7263.907
RU_JINR,    451.207,    341.812,    282.958,     80.094,    339.136,   1024.358,    120.004,     13.326,     43.867,      0.000,      0.000,      0.000,  2696.763
UK_Bristol,    207.593,    191.188,    797.487,    421.419,    286.537,    527.990,     79.190,     19.694,    103.605,    126.095,     72.141,    259.658,  3092.597
UK_Brunel,    197.453,    154.973,    322.642,    101.062,    114.836,    303.651,     76.874,     11.829,     74.472,    138.183,     99.395,    116.315,  1711.686
UK_Edinburgh,     11.899,     51.942,     60.626,     17.855,     27.800,    103.662,      6.082,      0.378,     11.210,    164.584,     24.302,     54.677,   535.017
UK_Imperial,    113.768,     90.891,    248.653,     23.572,     64.301,    255.798,    100.509,      5.838,    167.673,     28.593,     37.532,    118.835,  1255.963
UK_Lancaster,     46.427,     31.491,    162.522,    124.954,    106.559,    236.091,     25.429,      0.828,     63.435,     36.150,     54.493,      0.866,   889.244
UK_Liverpool,      0.000,      0.000,      0.003,      0.000,      0.000,    141.496,     61.767,      5.604,     75.318,     76.765,     31.812,     38.554,   431.319
UK_Manchester,    421.850,    573.155,   1122.529,   1294.357,    831.629,   2058.869,    151.610,      0.007,      0.097,     58.480,    796.485,    286.150,  7595.220
UK_Oxford,     25.474,     43.242,    204.850,     77.344,     85.988,    309.579,     51.934,      7.001,     14.554,     30.085,     21.735,     72.431,   944.217
UK_QMUL,    384.894,    323.756,    468.739,     79.790,     41.593,      2.021,      6.956,     13.191,     60.343,    415.949,     30.226,     53.333,  1880.790
UK_RAL-PPD,    216.409,    341.728,   1283.778,    720.608,    885.553,   2251.922,    427.249,     69.275,    954.295,    335.717,    448.858,    859.648,  8795.042
UK_RAL-Tier1,   1118.101,    782.072,   2138.271,    618.146,    452.555,    542.327,    467.782,    182.869,   1854.926,   1197.632,      0.000,      0.002,  9354.684
UK_Sheffield,     51.639,    117.000,     52.470,     41.993,      0.000,    357.146,     59.404,      3.026,     39.646,     24.244,     37.523,     32.302,   816.394
US_BNL,     53.818,     62.315,    101.553,     23.249,     76.524,    222.115,     42.022,     15.852,     25.229,     17.531,     23.115,    190.418,   853.742
US_Caltech,      0.000,      0.000,      0.000,     10.619,     69.234,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,    79.853
US_Colorado,      6.156,    224.651,    313.997,    132.191,    236.609,    424.205,    112.349,     33.626,    180.589,     91.745,     81.881,    256.604,  2094.602
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,  17653.778,  25751.125,  10782.866,  16795.567,  13356.493,  28910.633,  34335.314,  18043.981,  13268.331,178898.089
US_FNAL-T1,      0.000,      0.000,      0.000,    162.314,    104.065,    172.407,     99.800,     23.867,     88.837,     64.284,    134.012,    284.490,  1134.076
US_FermiGrid,   9216.851,   6368.046,  24399.490,  16587.095,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000, 56571.481
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Michigan,      1.628,      1.026,      2.251,      0.687,      3.406,      2.241,      5.701,      5.303,      0.246,      0.774,      0.793,      0.005,    24.060
