   time in CoreYears by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
US_PuertoRico,      0.262,      0.234,      0.372,      0.320,      0.167,      0.331,      0.117,      0.260,      0.025,      0.027,      0.036,      0.124,     2.276
US_SU-ITS,      3.394,      2.090,      3.039,      1.413,      3.100,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,    13.037
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_UCSD,      0.176,      0.523,      0.522,      0.217,      0.002,      0.435,      0.518,      0.384,      0.131,      0.185,      0.136,      0.210,     3.439
US_UChicago,      0.360,      0.195,      0.658,      0.097,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     1.311
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_WSU,      0.537,      0.296,      0.000,      0.000,      0.000,      0.000,      0.006,      0.231,      0.207,      0.016,      0.083,      0.078,     1.454
US_Wisconsin,      0.741,      0.104,      0.336,      0.059,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.200,      0.760,     2.199
undefined,      1.445,      2.649,      7.403,      2.867,      1.598,      3.115,      3.950,      1.987,      0.436,      1.763,      1.500,      2.615,    31.328
Total,    161.937,    237.780,    430.643,    498.934,    295.519,    349.269,    424.598,    382.288,    107.727,     96.376,    154.673,    131.050,  3270.793
