   time in kHS23-Hrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
US_Nebraska,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         25,          0,          0,          0,          0,          0,          0,         32
US_NotreDame,         51,         32,        134,          0,          0,          0,          0,          0,          0,          0,          0,          0,         34,         48,         26,         37,         10,         48,         26,          0,          1,          9,         22,        485
US_Omaha,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          8,          0,          0,          0,          0,          0,          0,         18
US_PuertoRico,         61,         22,         57,         31,         26,         39,         18,         55,          2,          2,         21,         51,         46,          6,         16,         40,          5,          1,          3,          7,          9,         16,         12,        558
US_SU-ITS,        327,        201,        292,        136,        298,          0,          0,          0,          0,          0,          0,          0,         14,         65,         69,        469,        348,         41,         31,         15,         17,        250,        128,       2709
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          2,         11
US_UCSD,        111,         78,         77,         34,          1,         53,         67,        123,         17,         30,         25,         68,         47,         31,         33,         57,          6,          9,         28,         42,         44,         24,         18,       1034
US_UChicago,         34,         18,         63,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         52,         91,         20,        305,       1871,         56,        277,        212,       3015
US_UConn-HPC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         22,          3,         13,        357,         47,         19,         67,        532
US_WSU,        365,         28,          0,          0,          0,          0,          0,         27,         20,          1,          8,          7,         61,         88,         67,         53,          0,          0,          0,          0,          0,          2,          3,        739
US_Wisconsin,        220,         10,         32,          5,          0,          0,          0,          0,          0,          0,         19,         73,         40,         23,         20,        100,          5,         10,         16,         37,          0,         24,         72,        715
undefined,       1926,       2249,       4272,      11464,        432,        354,        418,        961,         81,        187,        144,        325,        332,        200,         14,         78,          9,          0,          0,        112,         27,         28,         67,      23690
Total,      53928,      33273,      49667,      61312,      29539,      46263,      43492,      79372,      14695,      12167,      16875,      22820,      45467,      40706,      33566,      32710,      22876,      17461,      42428,      82134,      28671,      19547,      15753,     844732
