   time in kHS23-Hrs by ByCountry     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR,          5,        120,         17,         21,        507,        135,        384,        658,        720,          0,          3,         12,       2587
CA,         25,         18,         10,          0,          0,          0,          2,         10,        199,        451,         44,          0,        763
CERN,        277,        238,         10,          6,         21,          3,         96,        524,       3265,        890,         14,        127,       5476
CH,          1,        125,          0,          0,          0,          0,          0,         23,        116,          0,          0,          0,        268
CZ,        421,        229,          6,          1,          0,          0,          0,        213,       3981,         63,         65,          5,       4988
ES,        159,         31,          2,          2,          6,          1,          7,         63,        940,        686,         11,         23,       1935
FR,         80,        209,         22,          1,         58,          9,         13,        350,       2036,        461,          5,          6,       3254
IN,          6,         15,          0,          0,          0,          0,          0,        105,        393,         10,          0,          0,        532
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,       1982,       1009,          1,         33,        336,         10,         54,       1151,       7327,        431,        179,         38,      12557
RU,          5,        200,         14,          4,        163,         38,         27,         10,          0,          0,          0,          0,        465
UK,       4123,       2629,        151,         31,        758,        344,        784,       3253,      14724,       3913,        240,        196,      31152
US,       3027,       1726,        647,        699,       2152,       1204,       1940,       1890,       9610,        551,         71,       2186,      25708
undefined,         73,         62,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        137
Total,      10192,       6616,        886,        801,       4006,       1749,       3309,       8254,      43315,       7460,        636,       2597,      89829
