   time in kHS23-Hrs by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,     26.015,     64.114,    466.521,     81.783,     95.720,    703.204,    177.175,    401.613,    678.693,    748.185,      0.000,     75.628,  3518.652
CA,    159.579,    130.202,    108.531,     43.759,     87.971,    217.915,     98.298,     19.434,    115.296,    275.959,    612.511,    418.459,  2287.915
CERN,    735.490,    816.671,   1266.646,    428.713,    985.577,   1474.305,    412.832,    231.213,    907.680,   3671.583,   1328.182,    757.543, 13016.435
CH,      0.455,      2.850,    126.274,      0.431,      0.953,      1.113,      1.197,      0.311,     23.427,    116.554,      0.859,     15.784,   290.207
CZ,    122.272,    640.887,   1088.329,    166.037,    227.053,   1134.765,    353.811,     26.373,    303.216,   4187.284,    209.124,    276.569,  8735.720
ES,    268.972,    318.597,    256.265,    111.417,    287.627,    577.243,    209.389,     24.379,    158.073,   1203.194,    818.322,    186.744,  4420.222
FR,    177.955,    217.397,    726.498,    143.680,    215.098,    675.492,    131.367,     21.531,    405.025,   2386.224,    498.980,     68.453,  5667.702
IN,    187.597,    246.536,    540.126,      0.000,    246.256,   1507.867,    380.704,      0.000,    249.206,    457.451,    108.586,    113.087,  4037.416
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     17.604,    17.604
NL,   1066.686,   3089.141,   3809.403,    295.608,    959.107,   2735.743,    299.379,    121.895,   1592.304,   7390.003,    518.975,    775.744, 22653.988
RU,    451.598,    347.698,    483.196,     94.778,    343.317,   1187.994,    158.857,     41.297,     54.078,      0.000,      0.000,      0.000,  3162.814
UK,   4003.236,   6825.249,   9491.938,   3673.004,   2928.522,   7848.731,   1859.693,   1104.046,   6673.339,  17356.604,   5568.355,   2133.365, 69466.082
US,   9530.670,   9796.018,  26771.911,  35467.138,  27174.342,  14567.111,  18784.088,  15468.829,  31267.709,  44229.371,  18979.516,  14679.742,266716.443
undefined,    144.578,    325.237,    332.140,    200.413,     14.813,     78.584,      9.673,      0.627,      0.000,    112.339,     27.870,     28.583,  1274.857
Total,  16875.104,  22820.596,  45467.776,  40706.763,  33566.358,  32710.067,  22876.465,  17461.547,  42428.046,  82134.753,  28671.280,  19547.303,405266.057
