   time in CoreYears by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,      0.007,      0.060,      1.249,      0.181,      0.221,      5.267,      1.411,      3.986,      6.829,      7.482,      0.000,      0.039,    26.732
CA,      0.219,      0.268,      0.189,      0.104,      0.004,      0.007,      0.006,      0.023,      0.113,      2.070,      4.681,      0.461,     8.147
CERN,      0.710,      2.884,      2.473,      0.113,      0.068,      0.222,      0.032,      0.999,      5.443,     33.891,      9.242,      0.146,    56.222
CH,      0.001,      0.021,      1.305,      0.001,      0.002,      0.006,      0.000,      0.000,      0.243,      1.208,      0.000,      0.000,     2.786
CZ,      0.624,      4.378,      2.380,      0.070,      0.013,      0.005,      0.000,      0.000,      2.212,     41.317,      0.663,      0.676,    52.339
ES,      0.838,      1.657,      0.322,      0.031,      0.023,      0.064,      0.011,      0.075,      0.656,      9.757,      7.125,      0.123,    20.682
FR,      0.080,      0.834,      2.171,      0.229,      0.010,      0.605,      0.101,      0.136,      3.633,     21.137,      4.793,      0.058,    33.786
IN,      0.125,      0.066,      0.165,      0.000,      0.000,      0.002,      0.000,      0.000,      1.097,      4.082,      0.108,      0.000,     5.646
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,      3.152,     20.578,     10.478,      0.018,      0.346,      3.495,      0.109,      0.566,     11.951,     76.043,      4.476,      1.861,   133.071
RU,      0.004,      0.061,      2.078,      0.152,      0.043,      1.698,      0.403,      0.290,      0.106,      0.000,      0.000,      0.000,     4.837
UK,     12.534,     42.796,     27.287,      1.576,      0.323,      7.868,      3.579,      8.141,     33.767,    152.803,     40.617,      2.497,   333.789
US,      2.159,     31.414,     17.921,      6.715,      7.261,     22.339,     12.505,     20.133,     19.618,     99.732,      5.722,      0.745,   246.264
undefined,      0.000,      0.761,      0.644,      0.013,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.004,     1.424
Total,     20.453,    105.777,     68.662,      9.204,      8.315,     41.578,     18.161,     34.350,     85.668,    449.521,     77.428,      6.609,   925.724
