   time in CoreYears by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,      0.270,      0.665,      4.841,      0.849,      0.993,      7.298,      1.839,      4.168,      7.043,      7.764,      0.000,      0.785,    36.516
CA,      1.656,      1.351,      1.126,      0.454,      0.913,      2.261,      1.020,      0.202,      1.197,      2.864,      6.356,      4.343,    23.743
CERN,      7.633,      8.475,     13.145,      4.449,     10.228,     15.300,      4.284,      2.399,      9.420,     38.103,     13.784,      7.862,   135.081
CH,      0.005,      0.030,      1.310,      0.004,      0.010,      0.012,      0.012,      0.003,      0.243,      1.210,      0.009,      0.164,     3.012
CZ,      1.269,      6.651,     11.294,      1.723,      2.356,     11.776,      3.672,      0.274,      3.147,     43.455,      2.170,      2.870,    90.657
ES,      2.791,      3.306,      2.659,      1.156,      2.985,      5.990,      2.173,      0.253,      1.640,     12.486,      8.492,      1.938,    45.872
FR,      1.847,      2.256,      7.539,      1.491,      2.232,      7.010,      1.363,      0.223,      4.203,     24.764,      5.178,      0.710,    58.818
IN,      1.947,      2.558,      5.605,      0.000,      2.556,     15.648,      3.951,      0.000,      2.586,      4.747,      1.127,      1.174,    41.899
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.183,     0.183
NL,     11.070,     32.058,     39.533,      3.068,      9.953,     28.391,      3.107,      1.265,     16.525,     76.692,      5.386,      8.050,   235.097
RU,      4.687,      3.608,      5.014,      0.984,      3.563,     12.329,      1.649,      0.429,      0.561,      0.000,      0.000,      0.000,    32.823
UK,     41.545,     70.831,     98.505,     38.118,     30.391,     81.452,     19.299,     11.458,     69.254,    180.122,     57.787,     22.140,   720.902
US,    127.024,    125.870,    322.164,    413.184,    282.009,    151.174,    194.937,    160.532,    324.488,    459.001,    196.965,    152.343,  2909.690
undefined,      1.500,      3.375,      3.447,      2.080,      0.154,      0.816,      0.100,      0.007,      0.000,      1.166,      0.289,      0.297,    13.230
Total,    203.242,    261.036,    516.185,    467.559,    348.343,    339.457,    237.406,    181.212,    440.308,    852.374,    297.543,    202.857,  4347.523
