   time in kHS23-Hrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,        126,         10,          0,          3,          2,         78,         15,        380,        108,         67,          0,          5,        799
CA,        331,         34,          0,          0,          0,          0,         51,        415,         62,          9,         21,         25,        952
CERN,       3616,        643,        595,         78,        116,        570,        447,       6592,        374,        376,         68,        277,      13756
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2
CZ,       1308,        163,        234,          8,          0,          5,         24,       1161,          1,          0,         60,        421,       3391
ES,        951,        244,        187,         15,         37,        581,        173,       1996,        184,         53,         80,        159,       4666
FR,         29,          0,          0,         11,         58,        239,         22,        634,         47,          0,          7,         80,       1132
IN,       2433,        181,        382,        130,          0,        396,        159,       1302,         58,         60,         12,          6,       5125
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
NL,       4744,        307,        842,         25,         44,       2007,        301,       5083,        263,         73,        303,       1982,      15981
RU,         51,        168,          0,          8,          0,        199,          8,        238,        201,         19,          0,          5,        902
UK,      13960,       3974,        531,        645,        209,       5426,        654,      10689,       1637,        854,       1207,       4123,      43915
US,       8983,       2638,       1836,       1119,        314,       3046,        681,      13270,       1334,       1346,        208,       3027,      37808
undefined,       1787,       1993,       3558,      11187,        278,         53,         38,        770,         39,         17,          0,         73,      19798
Total,  38324.048,  10361.093,   8170.781,  13234.808,   1063.559,  12607.851,   2578.326,  42534.911,   4314.480,   2880.910,   1970.807,  10192.649,     148234
