   time in MHr by country      ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,      0.002,      0.005,      0.031,      0.006,      0.007,      0.018,      0.004,      0.002,      0.002,      0.002,      0.000,      0.007,     0.086
CA,      0.013,      0.009,      0.008,      0.003,      0.008,      0.020,      0.009,      0.002,      0.009,      0.007,      0.015,      0.034,     0.137
CERN,      0.061,      0.049,      0.093,      0.038,      0.089,      0.132,      0.037,      0.012,      0.035,      0.037,      0.040,      0.068,     0.691
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,     0.002
CZ,      0.006,      0.020,      0.078,      0.014,      0.021,      0.103,      0.032,      0.002,      0.008,      0.019,      0.013,      0.019,     0.336
ES,      0.017,      0.014,      0.020,      0.010,      0.026,      0.052,      0.019,      0.002,      0.009,      0.024,      0.012,      0.016,     0.221
FR,      0.015,      0.012,      0.047,      0.011,      0.019,      0.056,      0.011,      0.001,      0.005,      0.032,      0.003,      0.006,     0.219
IN,      0.016,      0.022,      0.048,      0.000,      0.022,      0.137,      0.035,      0.000,      0.013,      0.006,      0.009,      0.010,     0.318
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,     0.002
NL,      0.069,      0.101,      0.255,      0.027,      0.084,      0.218,      0.026,      0.006,      0.040,      0.006,      0.008,      0.054,     0.894
RU,      0.041,      0.031,      0.026,      0.007,      0.031,      0.093,      0.011,      0.001,      0.004,      0.000,      0.000,      0.000,     0.245
UK,      0.254,      0.246,      0.624,      0.320,      0.263,      0.645,      0.138,      0.029,      0.311,      0.239,      0.150,      0.172,     3.391
US,      0.848,      0.615,      2.277,      3.165,      2.407,      1.129,      1.598,      1.230,      2.671,      3.147,      1.675,      1.328,    22.090
undefined,      0.013,      0.023,      0.025,      0.018,      0.001,      0.007,      0.001,      0.000,      0.000,      0.010,      0.003,      0.003,     0.103
