   time in kHS23-Yrs by ByCountry     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
BR,      0.016,      0.001,      0.001,      0.003,      0.008,      0.019,      0.007,      0.065,      0.017,      0.008,      0.003,      0.007,      0.053,      0.009,      0.011,      0.080,      0.020,      0.046,      0.077,      0.085,      0.000,      0.009,      0.004,      0.003,      0.000,      0.553
CA,      0.046,      0.069,      0.051,      0.001,      0.000,      0.033,      0.047,      0.080,      0.018,      0.008,      0.018,      0.015,      0.012,      0.005,      0.010,      0.025,      0.011,      0.002,      0.013,      0.032,      0.070,      0.048,      0.012,      0.001,      0.000,      0.629
CERN,      0.519,      0.272,      0.211,      0.080,      0.139,      0.221,      0.176,      0.908,      0.094,      0.074,      0.084,      0.093,      0.145,      0.049,      0.113,      0.168,      0.047,      0.026,      0.104,      0.419,      0.152,      0.086,      0.103,      0.136,      0.005,      4.424
CH,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.002,      0.000,      0.000,      0.000,      0.035
CZ,      0.207,      0.104,      0.141,      0.019,      0.001,      0.002,      0.097,      0.144,      0.000,      0.000,      0.014,      0.073,      0.124,      0.019,      0.026,      0.130,      0.040,      0.003,      0.035,      0.478,      0.024,      0.032,      0.054,      0.128,      0.000,      1.894
ES,      0.156,      0.105,      0.093,      0.022,      0.075,      0.171,      0.124,      0.292,      0.046,      0.020,      0.031,      0.036,      0.029,      0.013,      0.033,      0.066,      0.024,      0.003,      0.018,      0.137,      0.093,      0.021,      0.014,      0.048,      0.000,      1.671
FR,      0.020,      0.037,      0.033,      0.019,      0.074,      0.064,      0.038,      0.116,      0.023,      0.006,      0.020,      0.025,      0.083,      0.016,      0.025,      0.077,      0.015,      0.002,      0.046,      0.272,      0.057,      0.008,      0.013,      0.039,      0.000,      1.129
IN,      0.351,      0.061,      0.120,      0.040,      0.028,      0.111,      0.091,      0.277,      0.022,      0.038,      0.021,      0.028,      0.062,      0.000,      0.028,      0.172,      0.043,      0.000,      0.028,      0.052,      0.012,      0.013,      0.012,      0.005,      0.000,      1.618
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.000,      0.083
NL,      0.657,      0.116,      0.320,      0.115,      0.158,      0.501,      0.298,      0.780,      0.045,      0.044,      0.122,      0.353,      0.435,      0.034,      0.109,      0.312,      0.034,      0.014,      0.182,      0.844,      0.059,      0.089,      0.053,      0.026,      0.000,      5.698
RU,      0.013,      0.025,      0.001,      0.004,      0.076,      0.054,      0.018,      0.078,      0.057,      0.005,      0.052,      0.040,      0.055,      0.011,      0.039,      0.136,      0.018,      0.005,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.692
UK,      1.805,      1.051,      0.436,      0.208,      0.331,      1.450,      0.668,      1.617,      0.323,      0.271,      0.457,      0.779,      1.084,      0.419,      0.334,      0.896,      0.212,      0.126,      0.762,      1.981,      0.636,      0.244,      0.216,      0.622,      0.003,     16.930
US,      4.114,      2.688,      5.041,      6.625,      3.514,      5.341,      5.677,      6.368,      4.431,      1.611,      1.397,      1.385,      3.544,      4.545,      3.102,      1.663,      2.144,      1.766,      3.569,      5.049,      2.167,      1.676,      1.499,      3.924,      0.010,     82.850
undefined,      0.219,      0.257,      0.488,      1.309,      0.049,      0.040,      0.048,      0.110,      0.009,      0.021,      0.017,      0.037,      0.038,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      2.708
Total,      8.123,      4.786,      6.937,      8.446,      4.452,      8.007,      7.290,     10.836,      5.085,      2.106,      2.236,      2.871,      5.678,      5.143,      3.832,      3.734,      2.611,      1.993,      4.843,      9.376,      3.273,      2.231,      2.023,      4.983,      0.020,    120.916
