   time in kHS23-Hrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,          0,          3,          9,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          2,          5,          0,          0,          1,          1,          0,          0,          0,          0,         32
CA,          3,          7,          7,          7,          2,          0,          0,          0,          0,          0,          0,          0,          1,          0,          2,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         37
CERN,         27,         21,         18,        115,         44,          0,          0,        102,         13,         70,          0,          0,         37,          8,         85,         60,         36,         47,         27,         91,          4,         36,         68,         72,         27,         33,         47,        129,          1,          0,          0,       1232
CH,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
CZ,          1,         10,         87,         52,          7,          0,          0,         14,          7,         28,          0,          0,        120,         11,        239,        185,          9,        135,         57,         22,         47,         78,        140,         13,          2,          1,         44,         66,          0,          0,          0,       1390
ES,          3,          4,         13,          2,          2,          0,          0,          6,          0,          0,          0,          0,          6,          4,        112,         17,          4,          7,          4,          3,          2,          7,          5,        100,         33,          0,         14,         17,          0,          0,          0,        377
FR,          0,         10,         49,          3,          1,          0,          0,          7,          0,          0,          0,          0,          0,         15,        120,         27,         12,         17,         10,          5,          4,          9,          7,         11,          1,          0,          6,         17,          0,          0,          0,        342
IN,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         12,         23,          0,          0,          0,         36
IT,          1,         13,         65,         58,          8,          0,          0,         21,          0,          0,          0,          0,          4,          1,         22,         10,          1,         15,         28,         19,          6,         22,         15,         19,          8,          0,         35,         60,          0,          0,          0,        441
NL,          5,          4,         10,         19,          0,          0,          0,          8,          0,          0,          0,          0,         63,          1,          1,          0,          0,          0,          0,          0,          0,          8,          0,          0,          0,          0,         46,         74,          0,          0,          0,        247
UK,         40,         71,        111,        135,          9,          3,          5,        148,          2,          9,          0,          4,        169,         36,        503,        180,         40,        123,        136,         74,         94,        199,         81,        208,         89,         18,        892,       1215,         17,          0,          0,       4623
US,        326,        471,       1900,       2056,       2017,        287,         53,        417,        162,        247,         12,         50,        204,       1434,       3404,       4619,       1632,       1707,       2027,       2874,       1631,        937,        868,        854,        347,        690,       2092,       2274,        233,          0,         31,      35872
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          5,          2,          5,          1,          0,          0,          6,          1,          0,          0,         42
Total,        410,        619,       2285,       2453,       2094,        291,         59,        732,        187,        357,         13,         58,        608,       1513,       4496,       5103,       1738,       2056,       2294,       3094,       1793,       1307,       1194,       1286,        511,        747,       3193,       3886,        255,          0,         31,      44678
