   time in kHS23-Hrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,    139.334,     13.008,      6.490,     27.092,     66.963,    163.196,     64.517,    569.899,    145.644,     70.125,     26.015,     64.114,  1356.398
CA,    409.134,    605.240,    443.508,     12.559,      0.000,    291.556,    416.013,    700.486,    161.102,     70.633,    159.579,    130.202,  3400.012
CERN,   4579.927,   2381.261,   1849.998,    697.072,   1213.713,   1937.362,   1545.984,   7955.501,    822.432,    643.889,    735.490,    816.671, 25179.300
CH,      5.319,      2.538,     10.752,      0.149,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.455,      2.850,    22.062
CZ,   1834.426,    906.793,   1236.469,    168.396,      8.706,     17.877,    849.048,   1258.053,      2.268,      0.593,    122.272,    640.887,  7045.789
ES,   1376.148,    921.558,    815.955,    193.983,    658.987,   1499.727,   1084.038,   2557.790,    406.722,    173.332,    268.972,    318.597, 10275.810
FR,    173.027,    326.459,    289.176,    168.685,    648.829,    564.150,    331.430,   1018.147,    197.520,     50.833,    177.955,    217.397,  4163.608
IN,   3106.813,    533.230,   1051.741,    353.813,    249.524,    970.608,    801.362,   2429.268,    194.867,    330.918,    187.597,    246.536, 10456.277
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,   5776.939,   1017.093,   2805.128,   1007.201,   1385.267,   4385.902,   2606.576,   6832.318,    393.048,    385.217,   1066.686,   3089.141, 30750.517
RU,    112.437,    216.968,     13.131,     37.661,    661.670,    468.729,    161.436,    683.661,    499.001,     46.937,    451.598,    347.698,  3700.926
UK,  16086.150,   9207.196,   3821.092,   1824.563,   2895.393,  12699.128,   5848.021,  14166.284,   2825.827,   2374.241,   4003.236,   6825.249, 82576.379
US,  18401.866,  14892.954,  33052.077,  45356.850,  21318.095,  22911.033,  29365.326,  40238.798,   8965.607,   7833.845,   9530.670,   9796.018,261663.138
undefined,   1926.737,   2249.239,   4272.019,  11464.020,    432.628,    354.145,    418.861,    961.964,     81.023,    187.180,    144.578,    325.237, 22817.632
Total,  53928.257,  33273.538,  49667.534,  61312.045,  29539.775,  46263.413,  43492.612,  79372.168,  14695.061,  12167.744,  16875.104,  22820.596,463407.850
