   time in CoreYears by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,      0.263,      0.606,      3.593,      0.668,      0.772,      2.030,      0.427,      0.182,      0.214,      0.283,      0.000,      0.745,     9.784
CA,      1.437,      1.083,      0.937,      0.350,      0.909,      2.254,      1.014,      0.178,      1.083,      0.794,      1.675,      3.882,    15.596
CERN,      6.922,      5.591,     10.672,      4.336,     10.160,     15.078,      4.253,      1.400,      3.977,      4.212,      4.541,      7.716,    78.859
CH,      0.004,      0.009,      0.005,      0.004,      0.008,      0.006,      0.012,      0.003,      0.000,      0.002,      0.009,      0.164,     0.226
CZ,      0.644,      2.273,      8.914,      1.653,      2.344,     11.772,      3.671,      0.274,      0.934,      2.138,      1.507,      2.194,    38.318
ES,      1.953,      1.650,      2.338,      1.125,      2.962,      5.926,      2.162,      0.178,      0.985,      2.730,      1.367,      1.815,    25.190
FR,      1.767,      1.422,      5.369,      1.262,      2.222,      6.405,      1.262,      0.088,      0.570,      3.627,      0.386,      0.653,    25.032
IN,      1.822,      2.493,      5.440,      0.000,      2.555,     15.646,      3.951,      0.000,      1.489,      0.665,      1.019,      1.174,    36.253
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.183,     0.183
NL,      7.918,     11.481,     29.055,      3.050,      9.607,     24.896,      2.998,      0.699,      4.573,      0.649,      0.910,      6.189,   102.027
RU,      4.683,      3.547,      2.936,      0.831,      3.519,     10.631,      1.245,      0.138,      0.455,      0.000,      0.000,      0.000,    27.986
UK,     29.011,     28.035,     71.218,     36.541,     30.068,     73.584,     15.720,      3.316,     35.487,     27.319,     17.170,     19.643,   387.113
US,     96.748,     70.247,    259.911,    361.354,    274.748,    128.835,    182.432,    140.399,    304.871,    359.269,    191.243,    151.598,  2521.653
undefined,      1.500,      2.615,      2.803,      2.067,      0.153,      0.816,      0.098,      0.007,      0.000,      1.166,      0.289,      0.293,    11.806
Total,    154.673,    131.050,    403.191,    413.241,    340.028,    297.879,    219.246,    146.862,    354.640,    402.853,    220.116,    196.248,  3280.025
