   time in MHr by country      ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.001,      0.000,      0.001,      0.002,      0.006,      0.008,      0.004,      0.017,      0.003,      0.000,      0.002,      0.005,     0.051
CA,      0.007,      0.052,      0.040,      0.001,      0.000,      0.027,      0.033,      0.026,      0.009,      0.006,      0.013,      0.009,     0.223
CERN,      0.088,      0.158,      0.114,      0.056,      0.100,      0.124,      0.100,      0.124,      0.041,      0.024,      0.061,      0.049,     1.038
CH,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
CZ,      0.048,      0.068,      0.091,      0.015,      0.001,      0.001,      0.075,      0.009,      0.000,      0.000,      0.006,      0.020,     0.332
ES,      0.039,      0.062,      0.057,      0.016,      0.056,      0.083,      0.083,      0.051,      0.020,      0.011,      0.017,      0.014,     0.510
FR,      0.013,      0.030,      0.026,      0.014,      0.054,      0.030,      0.028,      0.035,      0.014,      0.005,      0.015,      0.012,     0.276
IN,      0.061,      0.032,      0.061,      0.020,      0.023,      0.052,      0.058,      0.102,      0.012,      0.025,      0.016,      0.022,     0.485
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,      0.094,      0.064,      0.178,      0.089,      0.122,      0.216,      0.210,      0.159,      0.012,      0.028,      0.069,      0.101,     1.343
RU,      0.006,      0.004,      0.001,      0.003,      0.060,      0.024,      0.014,      0.040,      0.027,      0.002,      0.041,      0.031,     0.254
UK,      0.193,      0.476,      0.299,      0.107,      0.244,      0.661,      0.472,      0.316,      0.108,      0.138,      0.254,      0.246,     3.515
US,      0.856,      1.114,      2.838,      4.022,      1.909,      1.806,      2.608,      2.452,      0.694,      0.590,      0.848,      0.615,    20.350
undefined,      0.013,      0.023,      0.065,      0.025,      0.014,      0.027,      0.035,      0.017,      0.004,      0.015,      0.013,      0.023,     0.274
