   time in kHS23-Hrs by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,         25,         58,        346,         64,         74,        195,         41,         17,         20,         27,          0,         71,        942
CA,        138,        104,         90,         33,         87,        217,         97,         17,        104,         76,        161,        374,       1502
CERN,        667,        538,       1028,        417,        979,       1452,        409,        134,        383,        405,        437,        743,       7598
CH,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         15,         21
CZ,         62,        219,        858,        159,        225,       1134,        353,         26,         90,        205,        145,        211,       3692
ES,        188,        158,        225,        108,        285,        571,        208,         17,         94,        263,        131,        174,       2427
FR,        170,        136,        517,        121,        214,        617,        121,          8,         54,        349,         37,         62,       2412
IN,        175,        240,        524,          0,        246,       1507,        380,          0,        143,         64,         98,        113,       3493
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         17
NL,        762,       1106,       2799,        293,        925,       2398,        288,         67,        440,         62,         87,        596,       9831
RU,        451,        341,        282,         80,        339,       1024,        120,         13,         43,          0,          0,          0,       2696
UK,       2795,       2701,       6862,       3521,       2897,       7090,       1514,        319,       3419,       2632,       1654,       1892,      37302
US,       9322,       6768,      25045,      34820,      26474,      12414,      17579,      13528,      29377,      34619,      18428,      14607,     242986
undefined,        144,        251,        270,        199,         14,         78,          9,          0,          0,        112,         27,         28,       1137
Total,  14904.296,  12627.947,  38851.510,  39819.899,  32765.110,  28703.585,  21126.507,  14151.592,  34173.118,  38818.874,  21210.364,  18910.450,     316063
