   time in MHr by country      ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,      0.002,      0.006,      0.042,      0.007,      0.009,      0.064,      0.016,      0.037,      0.062,      0.068,      0.000,      0.007,     0.320
CA,      0.015,      0.012,      0.010,      0.004,      0.008,      0.020,      0.009,      0.002,      0.010,      0.025,      0.056,      0.038,     0.208
CERN,      0.067,      0.074,      0.115,      0.039,      0.090,      0.134,      0.038,      0.021,      0.083,      0.334,      0.121,      0.069,     1.183
CH,      0.000,      0.000,      0.011,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.011,      0.000,      0.001,     0.026
CZ,      0.011,      0.058,      0.099,      0.015,      0.021,      0.103,      0.032,      0.002,      0.028,      0.381,      0.019,      0.025,     0.794
ES,      0.024,      0.029,      0.023,      0.010,      0.026,      0.052,      0.019,      0.002,      0.014,      0.109,      0.074,      0.017,     0.402
FR,      0.016,      0.020,      0.066,      0.013,      0.020,      0.061,      0.012,      0.002,      0.037,      0.217,      0.045,      0.006,     0.515
IN,      0.017,      0.022,      0.049,      0.000,      0.022,      0.137,      0.035,      0.000,      0.023,      0.042,      0.010,      0.010,     0.367
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,     0.002
NL,      0.097,      0.281,      0.346,      0.027,      0.087,      0.249,      0.027,      0.011,      0.145,      0.672,      0.047,      0.071,     2.059
RU,      0.041,      0.032,      0.044,      0.009,      0.031,      0.108,      0.014,      0.004,      0.005,      0.000,      0.000,      0.000,     0.288
UK,      0.364,      0.620,      0.863,      0.334,      0.266,      0.714,      0.169,      0.100,      0.607,      1.578,      0.506,      0.194,     6.315
US,      0.866,      0.891,      2.434,      3.224,      2.470,      1.324,      1.708,      1.406,      2.843,      4.021,      1.725,      1.335,    24.247
undefined,      0.013,      0.030,      0.030,      0.018,      0.001,      0.007,      0.001,      0.000,      0.000,      0.010,      0.003,      0.003,     0.116
