   time in kHS23-Yrs by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.016,      0.001,      0.001,      0.003,      0.008,      0.019,      0.007,      0.065,      0.017,      0.008,      0.003,      0.007,      0.155
CA,      0.047,      0.069,      0.051,      0.001,      0.000,      0.033,      0.047,      0.080,      0.018,      0.008,      0.018,      0.015,      0.388
CERN,      0.523,      0.272,      0.211,      0.080,      0.139,      0.221,      0.176,      0.908,      0.094,      0.074,      0.084,      0.093,      2.874
CH,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CZ,      0.209,      0.104,      0.141,      0.019,      0.001,      0.002,      0.097,      0.144,      0.000,      0.000,      0.014,      0.073,      0.804
ES,      0.157,      0.105,      0.093,      0.022,      0.075,      0.171,      0.124,      0.292,      0.046,      0.020,      0.031,      0.036,      1.173
FR,      0.020,      0.037,      0.033,      0.019,      0.074,      0.064,      0.038,      0.116,      0.023,      0.006,      0.020,      0.025,      0.475
IN,      0.355,      0.061,      0.120,      0.040,      0.028,      0.111,      0.091,      0.277,      0.022,      0.038,      0.021,      0.028,      1.194
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL,      0.659,      0.116,      0.320,      0.115,      0.158,      0.501,      0.298,      0.780,      0.045,      0.044,      0.122,      0.353,      3.510
RU,      0.013,      0.025,      0.001,      0.004,      0.076,      0.054,      0.018,      0.078,      0.057,      0.005,      0.052,      0.040,      0.422
UK,      1.836,      1.051,      0.436,      0.208,      0.331,      1.450,      0.668,      1.617,      0.323,      0.271,      0.457,      0.779,      9.427
US,      4.209,      2.688,      5.041,      6.625,      3.514,      5.341,      5.677,      6.368,      4.431,      1.611,      1.397,      1.385,     48.286
undefined,      0.220,      0.257,      0.488,      1.309,      0.049,      0.040,      0.048,      0.110,      0.009,      0.021,      0.017,      0.037,      2.605
Total,      8.264,      4.786,      6.937,      8.446,      4.452,      8.007,      7.290,     10.836,      5.085,      2.106,      2.236,      2.871,     71.316
