   time in kHS23-Hrs by ByCountry     ,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,Total
BR,         58,        346,         64,         74,        195,         41,         17,         20,         27,          0,         71,         20,        937
CA,        104,         90,         33,         87,        217,         97,         17,        104,         76,        161,        374,        103,       1468
CERN,        538,       1028,        417,        979,       1452,        409,        134,        383,        405,        437,        743,        550,       7482
CH,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         15,          0,         22
CZ,        219,        858,        159,        225,       1134,        353,         26,         90,        205,        145,        211,        293,       3923
ES,        158,        225,        108,        285,        571,        208,         17,         94,        263,        131,        174,         81,       2320
FR,        136,        517,        121,        214,        617,        121,          8,         54,        349,         37,         62,         97,       2338
IN,        240,        524,          0,        246,       1507,        380,          0,        143,         64,         98,        113,        104,       3422
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,        274,        292
NL,       1106,       2799,        293,        925,       2398,        288,         67,        440,         62,         87,        596,        351,       9420
RU,        341,        282,         80,        339,       1024,        120,         13,         43,          0,          0,          0,          0,       2245
UK,       2701,       6862,       3521,       2897,       7090,       1514,        319,       3419,       2632,       1654,       1892,       1361,      35868
US,       6768,      25045,      34820,      26474,      12414,      17579,      13528,      29377,      34619,      18428,      14607,       9847,     243511
undefined,        251,        270,        199,         14,         78,          9,          0,          0,        112,         27,         28,         67,       1060
Total,      12627,      38851,      39819,      32765,      28703,      21126,      14151,      34173,      38818,      21210,      18910,      13155,     314314
