   time in kHS23-Hrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
US_NotreDame,         13,         32,         76,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,         38,         25,         20,          9,         10,         14,          0,          1,          9,         22,        305
US_Omaha,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          8,          0,          0,          0,          0,          0,          0,         17
US_PuertoRico,         25,         22,         35,         30,         16,         31,         11,         25,          2,          2,          3,         11,         43,          6,         15,         39,          5,          1,          3,          5,          4,         16,         12,        374
US_SU-ITS,        327,        201,        292,        136,        298,          0,          0,          0,          0,          0,          0,          0,         14,         65,         69,        469,        348,         41,         29,         15,         17,        249,        128,       2705
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          2,         11
US_UCSD,         16,         50,         50,         20,          0,         41,         49,         37,         12,         17,         13,         20,         43,         30,         32,         56,          6,          4,         18,          7,         15,         24,         17,        588
US_UChicago,         34,         18,         63,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         52,         91,         20,         78,         23,         56,        261,        211,        922
US_UConn-HPC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         22,          3,         13,         51,         47,         19,         65,        224
US_WSU,         51,         28,          0,          0,          0,          0,          0,         22,         19,          1,          8,          7,         61,         88,         67,         53,          0,          0,          0,          0,          0,          2,          3,        419
US_Wisconsin,         71,         10,         32,          5,          0,          0,          0,          0,          0,          0,         19,         73,         32,         20,         20,        100,          5,         10,         13,          4,          0,         22,         72,        515
undefined,        139,        255,        713,        276,        153,        300,        380,        191,         41,        169,        144,        251,        270,        199,         14,         78,          9,          0,          0,        112,         27,         28,         67,       3827
Total,      15604,      22912,      41496,      48077,      28476,      33655,      40914,      36837,      10380,       9286,      14904,      12627,      38851,      39819,      32765,      28703,      21126,      14151,      34173,      38818,      21210,      18910,      13155,     616860
