   time in kHS23-Yrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.000,      0.083
NL_NIKHEF,      0.023,      0.015,      0.016,      0.017,      0.060,      0.061,      0.044,      0.034,      0.004,      0.013,      0.030,      0.033,      0.076,      0.007,      0.027,      0.062,      0.014,      0.004,      0.011,      0.004,      0.008,      0.018,      0.004,      0.025,      0.000,      0.610
NL_SURFsara,      0.095,      0.066,      0.208,      0.095,      0.093,      0.211,      0.219,      0.165,      0.011,      0.023,      0.057,      0.094,      0.244,      0.026,      0.079,      0.212,      0.019,      0.004,      0.039,      0.003,      0.003,      0.050,      0.037,      0.000,      0.000,      2.051
RU_JINR,      0.007,      0.006,      0.001,      0.003,      0.076,      0.031,      0.018,      0.051,      0.034,      0.003,      0.052,      0.039,      0.032,      0.009,      0.039,      0.117,      0.014,      0.002,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.537
UK_Bristol,      0.024,      0.053,      0.021,      0.000,      0.027,      0.028,      0.045,      0.044,      0.009,      0.009,      0.024,      0.022,      0.091,      0.048,      0.033,      0.060,      0.009,      0.002,      0.012,      0.014,      0.008,      0.030,      0.032,      0.033,      0.000,      0.680
UK_Brunel,      0.007,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.010,      0.007,      0.023,      0.018,      0.037,      0.012,      0.013,      0.035,      0.009,      0.001,      0.009,      0.016,      0.011,      0.013,      0.003,      0.037,      0.000,      0.273
UK_Edinburgh,      0.004,      0.016,      0.008,      0.001,      0.000,      0.000,      0.000,      0.008,      0.004,      0.001,      0.001,      0.006,      0.007,      0.002,      0.003,      0.012,      0.001,      0.000,      0.001,      0.019,      0.003,      0.006,      0.002,      0.003,      0.000,      0.109
UK_Imperial,      0.004,      0.033,      0.026,      0.012,      0.016,      0.080,      0.074,      0.020,      0.007,      0.008,      0.013,      0.010,      0.028,      0.003,      0.007,      0.029,      0.011,      0.001,      0.019,      0.003,      0.004,      0.014,      0.008,      0.043,      0.000,      0.475
UK_Lancaster,      0.003,      0.020,      0.018,      0.009,      0.010,      0.097,      0.044,      0.024,      0.006,      0.003,      0.005,      0.004,      0.019,      0.014,      0.012,      0.027,      0.003,      0.000,      0.007,      0.004,      0.006,      0.000,      0.000,      0.018,      0.000,      0.354
UK_Liverpool,      0.012,      0.021,      0.018,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.016,      0.007,      0.001,      0.009,      0.009,      0.004,      0.004,      0.002,      0.005,      0.000,      0.110
UK_Manchester,      0.012,      0.028,      0.009,      0.002,      0.013,      0.333,      0.232,      0.088,      0.048,      0.014,      0.048,      0.065,      0.128,      0.148,      0.095,      0.235,      0.017,      0.000,      0.000,      0.007,      0.091,      0.033,      0.037,      0.110,      0.000,      1.791
UK_Oxford,      0.011,      0.022,      0.017,      0.005,      0.010,      0.019,      0.007,      0.008,      0.004,      0.004,      0.003,      0.005,      0.023,      0.009,      0.010,      0.035,      0.006,      0.001,      0.002,      0.003,      0.002,      0.008,      0.007,      0.020,      0.000,      0.242
UK_QMUL,      0.025,      0.010,      0.042,      0.013,      0.111,      0.090,      0.039,      0.042,      0.014,      0.013,      0.044,      0.037,      0.054,      0.009,      0.005,      0.000,      0.001,      0.002,      0.007,      0.047,      0.003,      0.006,      0.003,      0.006,      0.000,      0.623
UK_RAL-PPD,      0.049,      0.117,      0.072,      0.033,      0.049,      0.118,      0.129,      0.058,      0.022,      0.012,      0.025,      0.039,      0.147,      0.082,      0.101,      0.257,      0.049,      0.008,      0.109,      0.038,      0.051,      0.098,      0.045,      0.120,      0.000,      1.829
UK_RAL-Tier1,      0.078,      0.273,      0.143,      0.057,      0.070,      0.065,      0.023,      0.092,      0.009,      0.098,      0.128,      0.089,      0.244,      0.071,      0.052,      0.062,      0.053,      0.021,      0.212,      0.137,      0.000,      0.000,      0.038,      0.171,      0.001,      2.186
UK_Sheffield,      0.014,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.004,      0.006,      0.013,      0.006,      0.005,      0.000,      0.041,      0.007,      0.000,      0.005,      0.003,      0.004,      0.004,      0.002,      0.000,      0.000,      0.117
US_BNL,      0.038,      0.043,      0.030,      0.013,      0.006,      0.026,      0.029,      0.015,      0.004,      0.004,      0.006,      0.007,      0.012,      0.003,      0.009,      0.025,      0.005,      0.002,      0.003,      0.002,      0.003,      0.022,      0.012,      0.032,      0.000,      0.349
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.009
US_Colorado,      0.012,      0.036,      0.031,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.026,      0.036,      0.015,      0.027,      0.048,      0.013,      0.004,      0.021,      0.010,      0.009,      0.029,      0.026,      0.067,      0.000,      0.413
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      2.015,      2.940,      1.231,      1.917,      1.525,      3.300,      3.920,      2.060,      1.515,      1.105,      2.274,      0.006,     23.807
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.019,      0.012,      0.020,      0.011,      0.003,      0.010,      0.007,      0.015,      0.032,      0.010,      0.008,      0.000,      0.147
US_FermiGrid,      0.957,      1.277,      3.436,      5.013,      2.356,      2.233,      3.238,      3.052,      0.861,      0.734,      1.052,      0.727,      2.785,      1.894,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     29.616
US_MWT2,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_Michigan,      0.001,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.002,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.011
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
US_NotreDame,      0.001,      0.004,      0.009,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.004,      0.003,      0.002,      0.001,      0.001,      0.002,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.035
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_PuertoRico,      0.003,      0.003,      0.004,      0.004,      0.002,      0.004,      0.001,      0.003,      0.000,      0.000,      0.000,      0.001,      0.005,      0.001,      0.002,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,      0.002,      0.002,      0.000,      0.045
US_SU-ITS,      0.037,      0.023,      0.033,      0.016,      0.034,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.007,      0.008,      0.054,      0.040,      0.005,      0.003,      0.002,      0.002,      0.028,      0.024,      0.000,      0.000,      0.318
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_UCSD,      0.002,      0.006,      0.006,      0.002,      0.000,      0.005,      0.006,      0.004,      0.001,      0.002,      0.002,      0.002,      0.005,      0.004,      0.004,      0.006,      0.001,      0.000,      0.002,      0.001,      0.002,      0.003,      0.002,      0.003,      0.000,      0.071
US_UChicago,      0.004,      0.002,      0.007,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.006,      0.010,      0.002,      0.009,      0.003,      0.006,      0.030,      0.027,      0.060,      0.000,      0.167
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.002,      0.006,      0.005,      0.002,      0.008,      0.003,      0.000,      0.029
US_WSU,      0.006,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.002,      0.000,      0.001,      0.001,      0.007,      0.010,      0.008,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.048
US_Wisconsin,      0.008,      0.001,      0.004,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.008,      0.004,      0.002,      0.002,      0.011,      0.001,      0.001,      0.002,      0.000,      0.000,      0.003,      0.011,      0.003,      0.000,      0.064
undefined,      0.016,      0.029,      0.081,      0.032,      0.018,      0.034,      0.043,      0.022,      0.005,      0.019,      0.017,      0.029,      0.031,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      0.441
Total,      1.773,      2.616,      4.737,      5.488,      3.251,      3.842,      4.671,      4.205,      1.185,      1.060,      1.701,      1.442,      4.435,      4.546,      3.740,      3.277,      2.412,      1.615,      3.901,      4.431,      2.421,      2.159,      1.663,      3.359,      0.008,     73.938
