   time in CoreYears by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
UK_Manchester,      4.378,      5.948,     11.649,     13.433,      8.630,     21.366,      1.573,      0.000,      0.001,      0.607,      8.266,      2.970,    78.821
UK_Oxford,      0.264,      0.449,      2.126,      0.803,      0.892,      3.213,      0.539,      0.073,      0.151,      0.312,      0.226,      0.752,     9.799
UK_QMUL,      3.994,      3.360,      4.864,      0.828,      0.432,      0.021,      0.072,      0.137,      0.626,      4.317,      0.314,      0.553,    19.518
UK_RAL-PPD,      2.246,      3.546,     13.323,      7.478,      9.190,     23.370,      4.434,      0.719,      9.903,      3.484,      4.658,      8.921,    91.273
UK_RAL-Tier1,     11.603,      8.116,     22.190,      6.415,      4.697,      5.628,      4.855,      1.898,     19.250,     12.429,      0.000,      0.000,    97.081
UK_Sheffield,      0.536,      1.214,      0.545,      0.436,      0.000,      3.706,      0.616,      0.031,      0.411,      0.252,      0.389,      0.335,     8.472
US_BNL,      0.559,      0.647,      1.054,      0.241,      0.794,      2.305,      0.436,      0.165,      0.262,      0.182,      0.240,      1.976,     8.860
US_Caltech,      0.000,      0.000,      0.000,      0.110,      0.718,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.829
US_Colorado,      0.064,      2.331,      3.259,      1.372,      2.455,      4.402,      1.166,      0.349,      1.874,      0.952,      0.850,      2.663,    21.737
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,    183.206,    267.239,    111.902,    174.300,    138.610,    300.027,    356.323,    187.256,    137.695,  1856.560
US_FNAL-T1,      0.000,      0.000,      0.000,      1.684,      1.080,      1.789,      1.036,      0.248,      0.922,      0.667,      1.391,      2.952,    11.769
US_FermiGrid,     95.650,     66.086,    253.212,    172.137,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,   587.085
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Michigan,      0.017,      0.011,      0.023,      0.007,      0.035,      0.023,      0.059,      0.055,      0.003,      0.008,      0.008,      0.000,     0.250
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Nebraska,      0.000,      0.000,      0.002,      0.000,      0.000,      0.064,      0.265,      0.000,      0.000,      0.000,      0.000,      0.000,     0.330
US_NotreDame,      0.003,      0.000,      0.324,      0.400,      0.260,      0.210,      0.095,      0.107,      0.148,      0.006,      0.013,      0.100,     1.665
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.102,      0.084,      0.000,      0.000,      0.000,      0.000,      0.000,     0.186
US_PuertoRico,      0.036,      0.124,      0.455,      0.063,      0.165,      0.415,      0.057,      0.014,      0.032,      0.061,      0.049,      0.175,     1.645
US_SU-ITS,      0.000,      0.000,      0.153,      0.677,      0.722,      4.871,      3.617,      0.432,      0.304,      0.162,      0.185,      2.589,    13.713
US_Swan,      0.000,      0.000,      0.004,      0.002,      0.035,      0.008,      0.005,      0.009,      0.009,      0.001,      0.002,      0.017,     0.091
US_UCSD,      0.136,      0.210,      0.455,      0.319,      0.333,      0.582,      0.066,      0.043,      0.197,      0.081,      0.162,      0.253,     2.837
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,      0.541,      0.951,      0.216,      0.810,      0.249,      0.586,      2.714,     6.067
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.021,      0.229,      0.040,      0.138,      0.534,      0.491,      0.198,     1.651
US_WSU,      0.083,      0.078,      0.634,      0.922,      0.702,      0.559,      0.008,      0.001,      0.005,      0.000,      0.004,      0.027,     3.023
US_Wisconsin,      0.200,      0.760,      0.336,      0.213,      0.209,      1.041,      0.058,      0.111,      0.140,      0.042,      0.007,      0.238,     3.355
undefined,      1.500,      2.615,      2.803,      2.067,      0.153,      0.816,      0.098,      0.007,      0.000,      1.166,      0.289,      0.293,    11.806
Total,    154.673,    131.050,    403.191,    413.241,    340.028,    297.879,    219.246,    146.862,    354.640,    402.853,    220.116,    196.248,  3280.025
