   time in MHr by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,      0.000,      0.001,      0.011,      0.002,      0.002,      0.046,      0.012,      0.035,      0.060,      0.066,      0.000,      0.000,     0.234
CA_SFU,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,     0.003
CA_Victoria,      0.002,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.018,      0.041,      0.004,     0.068
CERN,      0.006,      0.025,      0.022,      0.001,      0.001,      0.002,      0.000,      0.009,      0.048,      0.297,      0.081,      0.001,     0.493
CH_UNIBE-LHEP,      0.000,      0.000,      0.011,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.011,      0.000,      0.000,     0.024
CZ_FZU,      0.005,      0.038,      0.021,      0.001,      0.000,      0.000,      0.000,      0.000,      0.019,      0.362,      0.006,      0.006,     0.458
ES_CIEMAT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
ES_PIC,      0.007,      0.015,      0.003,      0.000,      0.000,      0.001,      0.000,      0.001,      0.006,      0.085,      0.062,      0.001,     0.181
FR_CCIN2P3,      0.001,      0.007,      0.019,      0.002,      0.000,      0.005,      0.001,      0.001,      0.032,      0.185,      0.042,      0.001,     0.296
IN_TIFR,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.010,      0.036,      0.001,      0.000,     0.049
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,      0.015,      0.093,      0.046,      0.000,      0.000,      0.001,      0.000,      0.001,      0.041,      0.174,      0.031,      0.002,     0.404
NL_SURFsara,      0.012,      0.088,      0.046,      0.000,      0.003,      0.030,      0.001,      0.004,      0.064,      0.492,      0.008,      0.014,     0.762
RU_JINR,      0.000,      0.001,      0.018,      0.001,      0.000,      0.015,      0.004,      0.003,      0.001,      0.000,      0.000,      0.000,     0.042
UK_Bristol,      0.012,      0.009,      0.009,      0.001,      0.000,      0.001,      0.000,      0.001,      0.015,      0.038,      0.006,      0.001,     0.092
UK_Brunel,      0.011,      0.015,      0.008,      0.000,      0.000,      0.000,      0.000,      0.001,      0.017,      0.070,      0.012,      0.001,     0.136
UK_Edinburgh,      0.001,      0.003,      0.010,      0.001,      0.000,      0.002,      0.000,      0.000,      0.010,      0.107,      0.021,      0.000,     0.155
UK_Imperial,      0.005,      0.039,      0.008,      0.000,      0.000,      0.001,      0.000,      0.001,      0.008,      0.090,      0.040,      0.002,     0.195
UK_Lancaster,      0.008,      0.009,      0.010,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.101,      0.047,      0.000,     0.181
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.046,      0.030,      0.000,     0.080
UK_Manchester,      0.010,      0.113,      0.028,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.141,      0.014,      0.004,     0.312
UK_Oxford,      0.003,      0.003,      0.004,      0.000,      0.000,      0.001,      0.000,      0.000,      0.005,      0.051,      0.003,      0.000,     0.071
UK_QMUL,      0.012,      0.014,      0.021,      0.002,      0.000,      0.001,      0.000,      0.001,      0.028,      0.235,      0.058,      0.001,     0.373
UK_RAL-PPD,      0.014,      0.082,      0.026,      0.001,      0.000,      0.001,      0.000,      0.002,      0.064,      0.352,      0.000,      0.011,     0.551
UK_RAL-Tier1,      0.026,      0.086,      0.108,      0.008,      0.002,      0.060,      0.030,      0.066,      0.136,      0.059,      0.090,      0.000,     0.669
UK_Sheffield,      0.008,      0.002,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.006,      0.048,      0.035,      0.001,     0.108
US_BNL,      0.004,      0.010,      0.000,      0.005,      0.000,      0.004,      0.000,      0.009,      0.009,      0.141,      0.002,      0.000,     0.184
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
