   time in kHS23-Yrs by BySite     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,Total
UK_Sheffield,      0.015,      0.005,      0.000,      0.041,      0.007,      0.000,      0.012,      0.063,      0.049,      0.005,      0.004,      0.000,      0.000,      0.201
US_BNL,      0.012,      0.009,      0.009,      0.031,      0.005,      0.013,      0.014,      0.179,      0.005,      0.022,      0.016,      0.041,      0.000,      0.355
US_Caltech,      0.000,      0.001,      0.008,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.009
US_Colorado,      0.043,      0.017,      0.029,      0.052,      0.017,      0.015,      0.044,      0.071,      0.016,      0.030,      0.027,      0.071,      0.000,      0.429
US_FNAL-FermiGrid,      0.000,      2.505,      2.968,      1.461,      2.049,      1.719,      3.451,      4.504,      2.060,      1.519,      1.111,      2.363,      0.009,     25.720
US_FNAL-T1,      0.000,      0.019,      0.012,      0.020,      0.011,      0.003,      0.012,      0.030,      0.066,      0.033,      0.011,      0.008,      0.000,      0.224
US_FermiGrid,      3.458,      1.935,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      5.393
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_NERSC,      0.003,      0.030,      0.049,      0.004,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.257,      1.363,      0.000,      1.706
US_Nebraska,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
US_NotreDame,      0.004,      0.005,      0.003,      0.004,      0.001,      0.006,      0.003,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.031
US_Omaha,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
US_PuertoRico,      0.005,      0.001,      0.002,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,      0.002,      0.002,      0.000,      0.022
US_SU-ITS,      0.002,      0.007,      0.008,      0.054,      0.040,      0.005,      0.004,      0.002,      0.002,      0.029,      0.024,      0.000,      0.000,      0.175
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_UCSD,      0.005,      0.004,      0.004,      0.007,      0.001,      0.001,      0.003,      0.005,      0.005,      0.003,      0.003,      0.004,      0.000,      0.045
US_UChicago,      0.000,      0.000,      0.000,      0.006,      0.010,      0.002,      0.035,      0.214,      0.006,      0.032,      0.027,      0.064,      0.000,      0.397
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.003,      0.000,      0.002,      0.041,      0.005,      0.002,      0.008,      0.003,      0.000,      0.064
US_WSU,      0.007,      0.010,      0.008,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.032
US_Wisconsin,      0.005,      0.003,      0.002,      0.012,      0.001,      0.001,      0.002,      0.004,      0.000,      0.003,      0.011,      0.004,      0.000,      0.047
undefined,      0.038,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.000,      0.104
Total,      5.678,      5.143,      3.832,      3.734,      2.611,      1.993,      4.843,      9.376,      3.273,      2.231,      2.023,      4.983,      0.020,     49.741
